image, index, ax, ay, bx, by, efd
53-22-high-1-1.tif,1,864.7272727273,982.303030303,0,0,2.5767590691
53-22-high-1-1.tif,2,16.3539592885,-507.619247903,-186.7075581724,17.2482202408,2
53-22-high-1-1.tif,3,-35.8199147942,17.5362032392,-61.6460316567,-40.3838912075,0.471565925
53-22-high-1-1.tif,4,-0.3205998891,61.176218388,25.6029266971,-19.8220486125,0.29314271
53-22-high-1-1.tif,5,-5.4634289408,-17.0050881941,-25.3242755517,40.2865301741,0.288950645
53-22-high-2-2.tif,1,979.1333333333,796.0666666667,0,0,3.7426462365
53-22-high-2-2.tif,2,-37.3333122352,-335.098065959,-226.8271183714,212.8163232749,2
53-22-high-2-2.tif,3,-34.7016677809,-9.5249197123,-27.1588334715,-37.3720329411,0.2552581276
53-22-high-2-2.tif,4,67.2799897841,-48.4867501963,7.7657103762,-5.5467754128,0.2766435832
53-22-high-2-2.tif,5,-23.758983452,14.1635338124,10.3415450521,15.0624956738,0.140779239
53-22-high-3-1.tif,1,906.9696969697,874.3636363636,0,0,2.9474291523
53-22-high-3-1.tif,2,-22.4762945912,-426.8332783772,-145.2017671317,128.7116448505,2
53-22-high-3-1.tif,3,-6.5322790679,5.0692782946,-30.4319414474,0.8546580808,0.1762427994
53-22-high-3-1.tif,4,23.256190856,30.8902451103,6.5928868454,-34.7493650421,0.2727439597
53-22-high-3-1.tif,5,-23.9556134797,-5.0790821736,-12.0761225255,-12.2435104244,0.145919758
53-22-high-4-2.tif,1,990.0689655172,740.6896551724,0,0,5.135154675
53-22-high-4-2.tif,2,-41.42551046,-237.1950621816,-93.6438036443,183.0277829385,2
53-22-high-4-2.tif,3,-28.362870073,-50.2052676958,-12.2668561391,24.7316584167,0.3737575893
53-22-high-4-2.tif,4,5.4320926326,-36.3831523763,-26.4949692583,-5.3042444967,0.2842052412
53-22-high-4-2.tif,5,-1.3217370663,-15.0264177329,1.2241636316,2.117768726,0.0745447419
53-22-high-5-3.tif,1,1018.0714285714,1040.5,0,0,2.7746281111
53-22-high-5-3.tif,2,-4.6912507765,-524.6317546628,-160.5296254553,65.9548095062,2
53-22-high-5-3.tif,3,-15.8063397046,2.6843119681,-103.4677731829,3.791220136,0.6271409809
53-22-high-5-3.tif,4,-2.788916414,101.1157268908,6.4053701582,-44.7730908652,0.4534118385
53-22-high-5-3.tif,5,-1.8024147877,-47.224412379,13.4934679885,5.7677635878,0.1746309126
53-22-low-1-1.tif,1,718.7,1123.1,0,0,3.8006522038
53-22-low-1-1.tif,2,42.0306542957,-348.3005650819,-212.8455536191,-166.3557451566,2
53-22-low-1-1.tif,3,79.3526677804,-77.3906724436,-133.7270090441,43.3731818374,0.836356095
53-22-low-1-1.tif,4,-35.4346286362,-86.1759788655,-66.2866342902,103.5255297268,0.7206411125
