"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"1","32","20","col","dark","14","1",0,0,90,0.4558019638
"2","32","20","col","dark","14","1",0,0,88,0.3680855036
"3","32","20","col","dark","14","1",0,0,86,0.3996384144
"4","32","20","col","dark","14","1",0,0,84,0.3570967317
"5","32","20","col","dark","14","1",0,0,82,0.5067551136
"6","32","20","col","dark","14","1",0,0,80,0.5141547322
"7","32","20","col","dark","14","1",0,0,78,0.5455307364
"8","32","20","col","dark","14","1",0,0,76,0.6591311693
"9","32","20","col","dark","14","1",0,0,74,0.7217506766
"10","32","20","col","dark","14","1",0,0,72,0.7337508798
"11","32","20","col","dark","14","1",0,0,70,0.993350327
"12","32","20","col","dark","14","1",0,0,68,1.07991755
"13","32","20","col","dark","14","1",0,0,66,1.22900939
"14","32","20","col","dark","14","1",0,0,64,1.287296295
"15","32","20","col","dark","14","1",0,0,62,1.002171993
"16","32","20","col","dark","14","1",0,0,60,0.9654167295
"17","32","20","col","dark","14","1",0,0,58,1.224968195
"18","32","20","col","dark","14","1",0,0,56,1.270849466
"19","32","20","col","dark","14","1",0,0,54,1.026628733
"20","32","20","col","dark","14","1",0,0,52,0.9829341769
"21","32","20","col","dark","14","1",0,0,50,1.139736533
"22","32","20","col","dark","14","1",0,0,48,1.206906676
"23","32","20","col","dark","14","1",0,0,46,2.025792599
"24","32","20","col","dark","14","1",0,0,44,1.28417635
"25","32","20","col","dark","14","1",0,0,42,1.092738271
"26","32","20","col","dark","14","1",0,0,40,1.137545347
"27","32","20","col","dark","14","1",0,0,38,0.9869352579
"28","32","20","col","dark","14","1",0,0,36,1.166834593
"29","32","20","col","dark","14","1",0,0,34,1.488460779
"30","32","20","col","dark","14","1",0,0,32,1.327654243
"31","32","20","col","dark","14","1",0,0,30,1.181589127
"32","32","20","col","dark","14","1",0,0,28,1.352287531
"33","32","20","col","dark","14","1",0,0,26,1.395941734
"34","32","20","col","dark","14","1",0,0,24,1.361082435
"35","32","20","col","dark","14","1",0,0,22,1.140008807
"36","32","20","col","dark","14","1",0,0,20,1.209867597
"37","32","20","col","dark","14","1",0,0,18,1.057412148
"38","32","20","col","dark","14","1",0,0,16,0.8873265386
"39","32","20","col","dark","14","1",0,0,14,1.073926926
"40","32","20","col","dark","14","1",0,0,12,0.8769318461
"41","32","20","col","dark","14","1",0,0,10,0.8539991975
"42","32","20","col","dark","14","1",0,0,8,0.6847469211
"43","32","20","col","dark","14","1",0,0,6,0.7193567753
"44","32","20","col","dark","14","1",0,0,4,0.6065914035
"45","32","20","col","dark","14","1",0,0,2,0.7725554109
"46","32","20","col","dark","14","1",0,0,1.27e-13,1.138374209
"47","32","20","col","dark","14","1",0,0,2,0.590305388
"48","32","20","col","dark","14","1",0,0,4,0.6385796666
"49","32","20","col","dark","14","1",0,0,6,0.6550581455
"50","32","20","col","dark","14","1",0,0,8,0.7242257595
"51","32","20","col","dark","14","1",0,0,10,0.8202027082
"52","32","20","col","dark","14","1",0,0,12,0.9636741281
"53","32","20","col","dark","14","1",0,0,14,1.017704129
"54","32","20","col","dark","14","1",0,0,16,1.173673153
"55","32","20","col","dark","14","1",0,0,18,1.257774115
"56","32","20","col","dark","14","1",0,0,20,1.145227909
"57","32","20","col","dark","14","1",0,0,22,1.299610376
"58","32","20","col","dark","14","1",0,0,24,1.237749934
"59","32","20","col","dark","14","1",0,0,26,1.535600185
"60","32","20","col","dark","14","1",0,0,28,1.700075984
"61","32","20","col","dark","14","1",0,0,30,1.969527364
"62","32","20","col","dark","14","1",0,0,32,2.38565731
"63","32","20","col","dark","14","1",0,0,34,2.263368607
"64","32","20","col","dark","14","1",0,0,36,1.764340281
"65","32","20","col","dark","14","1",0,0,38,1.834634542
"66","32","20","col","dark","14","1",0,0,40,2.148945093
"67","32","20","col","dark","14","1",0,0,42,1.938387871
"68","32","20","col","dark","14","1",0,0,44,2.409274101
"69","32","20","col","dark","14","1",0,0,46,1.710739374
"70","32","20","col","dark","14","1",0,0,48,1.747606039
"71","32","20","col","dark","14","1",0,0,50,1.618842363
"72","32","20","col","dark","14","1",0,0,52,1.416429758
"73","32","20","col","dark","14","1",0,0,54,1.75797832
"74","32","20","col","dark","14","1",0,0,56,1.758193135
"75","32","20","col","dark","14","1",0,0,58,1.543912292
"76","32","20","col","dark","14","1",0,0,60,1.248335481
"77","32","20","col","dark","14","1",0,0,62,1.464916468
"78","32","20","col","dark","14","1",0,0,64,1.507526636
"79","32","20","col","dark","14","1",0,0,66,1.064337611
"80","32","20","col","dark","14","1",0,0,68,0.9739126563
"81","32","20","col","dark","14","1",0,0,70,0.8888715506
"82","32","20","col","dark","14","1",0,0,72,0.7876529098
"83","32","20","col","dark","14","1",0,0,74,0.5453894138
"84","32","20","col","dark","14","1",0,0,76,0.5174012184
"85","32","20","col","dark","14","1",0,0,78,0.5929147601
"86","32","20","col","dark","14","1",0,0,80,0.4330948293
"87","32","20","col","dark","14","1",0,0,82,0.3576010764
"88","32","20","col","dark","14","1",0,0,84,0.3828777373
"89","32","20","col","dark","14","1",0,0,86,0.3696093261
"90","32","20","col","dark","14","1",0,0,88,0.3452424705
"91","32","20","col","dark","15","1",0,0,90,1.062244058
"92","32","20","col","dark","15","1",0,0,88,0.7354630232
"93","32","20","col","dark","15","1",0,0,86,0.7479041219
"94","32","20","col","dark","15","1",0,0,84,0.7830169797
"95","32","20","col","dark","15","1",0,0,82,0.99238199
"96","32","20","col","dark","15","1",0,0,80,0.886952579
"97","32","20","col","dark","15","1",0,0,78,1.015737653
"98","32","20","col","dark","15","1",0,0,76,0.9459958076
"99","32","20","col","dark","15","1",0,0,74,1.121017098
"100","32","20","col","dark","15","1",0,0,72,1.172685385
"101","32","20","col","dark","15","1",0,0,70,1.371304631
"102","32","20","col","dark","15","1",0,0,68,1.231387854
"103","32","20","col","dark","15","1",0,0,66,1.246785998
"104","32","20","col","dark","15","1",0,0,64,1.129363298
"105","32","20","col","dark","15","1",0,0,62,1.364411235
"106","32","20","col","dark","15","1",0,0,60,1.294164896
"107","32","20","col","dark","15","1",0,0,58,1.415878892
"108","32","20","col","dark","15","1",0,0,56,1.399686933
"109","32","20","col","dark","15","1",0,0,54,1.353069425
"110","32","20","col","dark","15","1",0,0,52,1.461070657
"111","32","20","col","dark","15","1",0,0,50,1.494464278
"112","32","20","col","dark","15","1",0,0,48,1.510065913
"113","32","20","col","dark","15","1",0,0,46,2.426985264
"114","32","20","col","dark","15","1",0,0,44,1.824464679
"115","32","20","col","dark","15","1",0,0,42,1.76535809
"116","32","20","col","dark","15","1",0,0,40,1.580141187
"117","32","20","col","dark","15","1",0,0,38,1.357835054
"118","32","20","col","dark","15","1",0,0,36,1.716405153
"119","32","20","col","dark","15","1",0,0,34,1.709946632
"120","32","20","col","dark","15","1",0,0,32,1.428244591
"121","32","20","col","dark","15","1",0,0,30,1.292242408
"122","32","20","col","dark","15","1",0,0,28,1.37418294
"123","32","20","col","dark","15","1",0,0,26,1.303819895
"124","32","20","col","dark","15","1",0,0,24,1.136132479
"125","32","20","col","dark","15","1",0,0,22,1.331138372
"126","32","20","col","dark","15","1",0,0,20,1.136917233
"127","32","20","col","dark","15","1",0,0,18,1.035519719
"128","32","20","col","dark","15","1",0,0,16,0.8659806252
"129","32","20","col","dark","15","1",0,0,14,1.037204385
"130","32","20","col","dark","15","1",0,0,12,0.8009623885
"131","32","20","col","dark","15","1",0,0,10,0.9299581051
"132","32","20","col","dark","15","1",0,0,8,1.056247473
"133","32","20","col","dark","15","1",0,0,6,0.8168327808
"134","32","20","col","dark","15","1",0,0,4,1.034008265
"135","32","20","col","dark","15","1",0,0,2,0.7390280962
"136","32","20","col","dark","15","1",0,0,1.27e-13,1.068319798
"137","32","20","col","dark","15","1",0,0,2,0.8858977556
"138","32","20","col","dark","15","1",0,0,4,0.8099210858
"139","32","20","col","dark","15","1",0,0,6,0.7840803266
"140","32","20","col","dark","15","1",0,0,8,0.9733072519
"141","32","20","col","dark","15","1",0,0,10,1.005082369
"142","32","20","col","dark","15","1",0,0,12,1.293816566
"143","32","20","col","dark","15","1",0,0,14,1.452271104
"144","32","20","col","dark","15","1",0,0,16,1.696412802
"145","32","20","col","dark","15","1",0,0,18,1.335503459
"146","32","20","col","dark","15","1",0,0,20,1.479692101
"147","32","20","col","dark","15","1",0,0,22,1.610223889
"148","32","20","col","dark","15","1",0,0,24,1.659361005
"149","32","20","col","dark","15","1",0,0,26,1.584757686
"150","32","20","col","dark","15","1",0,0,28,1.394407272
"151","32","20","col","dark","15","1",0,0,30,1.506726861
"152","32","20","col","dark","15","1",0,0,32,1.384830832
"153","32","20","col","dark","15","1",0,0,34,1.590103984
"154","32","20","col","dark","15","1",0,0,36,1.117484093
"155","32","20","col","dark","15","1",0,0,38,1.379909158
"156","32","20","col","dark","15","1",0,0,40,1.237404943
"157","32","20","col","dark","15","1",0,0,42,1.185435057
"158","32","20","col","dark","15","1",0,0,44,1.639789343
"159","32","20","col","dark","15","1",0,0,46,0.9584482312
"160","32","20","col","dark","15","1",0,0,48,1.004029751
"161","32","20","col","dark","15","1",0,0,50,0.769829452
"162","32","20","col","dark","15","1",0,0,52,0.8388161063
"163","32","20","col","dark","15","1",0,0,54,0.7586334944
