image, x, y, angle, count
32-20-col-dark-14-1,0,0,-90,0.4558019638
32-20-col-dark-14-1,0,0,-88,0.3680855036
32-20-col-dark-14-1,0,0,-86,0.3996384144
32-20-col-dark-14-1,0,0,-84,0.3570967317
32-20-col-dark-14-1,0,0,-82,0.5067551136
32-20-col-dark-14-1,0,0,-80,0.5141547322
32-20-col-dark-14-1,0,0,-78,0.5455307364
32-20-col-dark-14-1,0,0,-76,0.6591311693
32-20-col-dark-14-1,0,0,-74,0.7217506766
32-20-col-dark-14-1,0,0,-72,0.7337508798
32-20-col-dark-14-1,0,0,-70,0.993350327
32-20-col-dark-14-1,0,0,-68,1.0799175501
32-20-col-dark-14-1,0,0,-66,1.2290093899
32-20-col-dark-14-1,0,0,-64,1.2872962952
32-20-col-dark-14-1,0,0,-62,1.0021719933
32-20-col-dark-14-1,0,0,-60,0.9654167295
32-20-col-dark-14-1,0,0,-58,1.224968195
32-20-col-dark-14-1,0,0,-56,1.2708494663
32-20-col-dark-14-1,0,0,-54,1.0266287327
32-20-col-dark-14-1,0,0,-52,0.9829341769
32-20-col-dark-14-1,0,0,-50,1.1397365332
32-20-col-dark-14-1,0,0,-48,1.2069066763
32-20-col-dark-14-1,0,0,-46,2.0257925987
32-20-col-dark-14-1,0,0,-44,1.2841763496
32-20-col-dark-14-1,0,0,-42,1.0927382708
32-20-col-dark-14-1,0,0,-40,1.1375453472
32-20-col-dark-14-1,0,0,-38,0.9869352579
32-20-col-dark-14-1,0,0,-36,1.1668345928
32-20-col-dark-14-1,0,0,-34,1.4884607792
32-20-col-dark-14-1,0,0,-32,1.3276542425
32-20-col-dark-14-1,0,0,-30,1.1815891266
32-20-col-dark-14-1,0,0,-28,1.3522875309
32-20-col-dark-14-1,0,0,-26,1.3959417343
32-20-col-dark-14-1,0,0,-24,1.3610824347
32-20-col-dark-14-1,0,0,-22,1.1400088072
32-20-col-dark-14-1,0,0,-20,1.2098675966
32-20-col-dark-14-1,0,0,-18,1.0574121475
32-20-col-dark-14-1,0,0,-16,0.8873265386
32-20-col-dark-14-1,0,0,-14,1.0739269257
32-20-col-dark-14-1,0,0,-12,0.8769318461
32-20-col-dark-14-1,0,0,-10,0.8539991975
32-20-col-dark-14-1,0,0,-8,0.6847469211
32-20-col-dark-14-1,0,0,-6,0.7193567753
32-20-col-dark-14-1,0,0,-4,0.6065914035
32-20-col-dark-14-1,0,0,-2,0.7725554109
32-20-col-dark-14-1,0,0,1.27222193825778E-013,1.1383742094
32-20-col-dark-14-1,0,0,2,0.590305388
32-20-col-dark-14-1,0,0,4,0.6385796666
32-20-col-dark-14-1,0,0,6,0.6550581455
32-20-col-dark-14-1,0,0,8,0.7242257595
32-20-col-dark-14-1,0,0,10,0.8202027082
32-20-col-dark-14-1,0,0,12,0.9636741281
32-20-col-dark-14-1,0,0,14,1.0177041292
32-20-col-dark-14-1,0,0,16,1.1736731529
32-20-col-dark-14-1,0,0,18,1.2577741146
32-20-col-dark-14-1,0,0,20,1.1452279091
32-20-col-dark-14-1,0,0,22,1.2996103764
32-20-col-dark-14-1,0,0,24,1.2377499342
32-20-col-dark-14-1,0,0,26,1.5356001854
32-20-col-dark-14-1,0,0,28,1.700075984
32-20-col-dark-14-1,0,0,30,1.9695273638
32-20-col-dark-14-1,0,0,32,2.3856573105
32-20-col-dark-14-1,0,0,34,2.2633686066
32-20-col-dark-14-1,0,0,36,1.7643402815
32-20-col-dark-14-1,0,0,38,1.8346345425
32-20-col-dark-14-1,0,0,40,2.1489450932
32-20-col-dark-14-1,0,0,42,1.9383878708
32-20-col-dark-14-1,0,0,44,2.4092741013
32-20-col-dark-14-1,0,0,46,1.7107393742
32-20-col-dark-14-1,0,0,48,1.747606039
32-20-col-dark-14-1,0,0,50,1.6188423634
32-20-col-dark-14-1,0,0,52,1.4164297581
32-20-col-dark-14-1,0,0,54,1.7579783201
32-20-col-dark-14-1,0,0,56,1.7581931353
32-20-col-dark-14-1,0,0,58,1.5439122915
32-20-col-dark-14-1,0,0,60,1.2483354807
32-20-col-dark-14-1,0,0,62,1.4649164677
32-20-col-dark-14-1,0,0,64,1.5075266361
32-20-col-dark-14-1,0,0,66,1.0643376112
32-20-col-dark-14-1,0,0,68,0.9739126563
32-20-col-dark-14-1,0,0,70,0.8888715506
32-20-col-dark-14-1,0,0,72,0.7876529098
32-20-col-dark-14-1,0,0,74,0.5453894138
32-20-col-dark-14-1,0,0,76,0.5174012184
32-20-col-dark-14-1,0,0,78,0.5929147601
32-20-col-dark-14-1,0,0,80,0.4330948293
32-20-col-dark-14-1,0,0,82,0.3576010764
32-20-col-dark-14-1,0,0,84,0.3828777373
32-20-col-dark-14-1,0,0,86,0.3696093261
32-20-col-dark-14-1,0,0,88,0.3452424705
32-20-col-dark-15-1,0,0,-90,1.0622440577
32-20-col-dark-15-1,0,0,-88,0.7354630232
32-20-col-dark-15-1,0,0,-86,0.7479041219
32-20-col-dark-15-1,0,0,-84,0.7830169797
32-20-col-dark-15-1,0,0,-82,0.99238199
32-20-col-dark-15-1,0,0,-80,0.886952579
32-20-col-dark-15-1,0,0,-78,1.0157376528
32-20-col-dark-15-1,0,0,-76,0.9459958076
32-20-col-dark-15-1,0,0,-74,1.1210170984
32-20-col-dark-15-1,0,0,-72,1.1726853848
32-20-col-dark-15-1,0,0,-70,1.3713046312
32-20-col-dark-15-1,0,0,-68,1.2313878536
32-20-col-dark-15-1,0,0,-66,1.2467859983
32-20-col-dark-15-1,0,0,-64,1.1293632984
32-20-col-dark-15-1,0,0,-62,1.3644112349
32-20-col-dark-15-1,0,0,-60,1.294164896
32-20-col-dark-15-1,0,0,-58,1.4158788919
32-20-col-dark-15-1,0,0,-56,1.3996869326
32-20-col-dark-15-1,0,0,-54,1.3530694246
32-20-col-dark-15-1,0,0,-52,1.4610706568
32-20-col-dark-15-1,0,0,-50,1.4944642782
32-20-col-dark-15-1,0,0,-48,1.5100659132
32-20-col-dark-15-1,0,0,-46,2.4269852638
32-20-col-dark-15-1,0,0,-44,1.8244646788
32-20-col-dark-15-1,0,0,-42,1.7653580904
32-20-col-dark-15-1,0,0,-40,1.5801411867
32-20-col-dark-15-1,0,0,-38,1.3578350544
32-20-col-dark-15-1,0,0,-36,1.7164051533
32-20-col-dark-15-1,0,0,-34,1.7099466324
32-20-col-dark-15-1,0,0,-32,1.4282445908
32-20-col-dark-15-1,0,0,-30,1.2922424078
32-20-col-dark-15-1,0,0,-28,1.3741829395
32-20-col-dark-15-1,0,0,-26,1.3038198948
32-20-col-dark-15-1,0,0,-24,1.1361324787
32-20-col-dark-15-1,0,0,-22,1.3311383724
32-20-col-dark-15-1,0,0,-20,1.1369172335
32-20-col-dark-15-1,0,0,-18,1.0355197191
32-20-col-dark-15-1,0,0,-16,0.8659806252
32-20-col-dark-15-1,0,0,-14,1.0372043848
32-20-col-dark-15-1,0,0,-12,0.8009623885
32-20-col-dark-15-1,0,0,-10,0.9299581051
32-20-col-dark-15-1,0,0,-8,1.0562474728
32-20-col-dark-15-1,0,0,-6,0.8168327808
32-20-col-dark-15-1,0,0,-4,1.0340082645
32-20-col-dark-15-1,0,0,-2,0.7390280962
32-20-col-dark-15-1,0,0,1.27222193825778E-013,1.0683197975
32-20-col-dark-15-1,0,0,2,0.8858977556
32-20-col-dark-15-1,0,0,4,0.8099210858
32-20-col-dark-15-1,0,0,6,0.7840803266
