ID,luciferin,measurement,value
39A02,no,shoot_fw,9.5
39A03,no,shoot_fw,12.1
39A04,no,shoot_fw,11.2
39A05,no,shoot_fw,10.3
39A06,no,shoot_fw,9.93
39A07,no,shoot_fw,10
39B02,yes,shoot_fw,12.5
39B03,yes,shoot_fw,7.3
39B04,yes,shoot_fw,7.6
39B05,yes,shoot_fw,8.8
39B06,yes,shoot_fw,9.8
39B07,yes,shoot_fw,9.8
39A02,no,pr_lenght,11.6
39A03,no,pr_lenght,12.0
39A04,no,pr_lenght,10.2
39A05,no,pr_lenght,9.7
39A06,no,pr_lenght,8.9
39A07,no,pr_lenght,11.0
39B02,yes,pr_lenght,14.2
39B03,yes,pr_lenght,9.5
39B04,yes,pr_lenght,11.7
39B05,yes,pr_lenght,9.9
39B06,yes,pr_lenght,10.6
39B07,yes,pr_lenght,10.3
