Target,Tissue,growth_system,sampling_time,ABI1,ACHT5,AHK2,AOS,ARF19,AtD14 (Dwarf 14),ATERF-4,AtPAL2,CAB2,CCA1,CHS_p1,CIPK8,COP1,COR15a,CRF5,CRF6,CYP38,CYP710A1,CYP79F1,DBE,DFR,DIM,DWF4,ELIP,EMF1,EPS1,ERD10,ERD7,ETR2,FAF2 ,FEI1,FER,FIT1,FLA10,FLS1_p1,FLS2,GLK2,GST6,HY5,IAA2,IRT1,JIN1,LBD16,LHY,LPR1,MAX2,MIZ1,NHO1,NiR,NRT1,OST1,PAP1,PCK1,PDR2,PGI1,PHO2,PHOT2,PHR1,PHYA,PIF4,rbcS1A,RD29A,RRG,RUS1,SHR,SPA1,SRO5,SS1,STOP1,SUR1,TAA1,TCH1,UVR8,XTH17,XTH22,ZAT12
M_D_R_1,root,MS,day,1.870098684,2.624637459,2.196246334,4.350264349,4.274959149,3.400301154,3.631493949,-0.849564861,6.033233139,3.188336684,1.364894279,2.340633969,4.947247144,6.834750619,3.849345639,4.142511689,3.495582544,3.685999209,13.20466173,5.659177409,4.296979834,1.080093459,3.831348489,6.279190144,5.666469369,6.156105579,3.809826449,1.197115599,5.430703109,8.643077354,1.354467774,1.376851044,-0.923420511,2.595117154,0.920575159,8.725560119,3.821021189,-2.554723801,1.129843969,2.635896234,-2.315865241,0.843590749,6.647546044,-0.580254166,5.002230734,4.958851784,3.035566139,2.394596489,-0.086854731,-1.459075256,4.375182389,8.033925559,0.924350334,3.057107544,-1.674447906,2.453390729,4.475860109,4.754809534,1.972229814,9.492671019,1.698185889,4.647328784,3.636748879,5.122474699,3.900495079,1.943936349,6.234028019,4.439462674,1.792674744,2.365088204,5.851637849,0.968127204,2.383365419,2.346365299,3.318219689,2.653093969
M_D_R_2,root,MS,day,1.499479522,2.298929217,3.020022597,4.519506457,4.779209597,2.906994902,3.559080622,-0.206112108,11.07948361,3.616681282,0.904167502,2.305183712,5.117806862,10.41453956,3.644297647,4.608301142,4.000054137,3.340880222,9.449563777,5.908102177,7.963900087,1.238689587,4.178253957,6.143100592,5.104174807,6.617228567,3.322378917,1.015295487,6.136607607,9.309730362,1.355700077,1.526484997,-0.862011193,2.686026127,0.372273542,9.890960632,4.240231942,-2.608591275,0.971885522,2.978635787,1.448424142,0.891981662,7.491839547,-0.239224083,4.690296342,5.478661287,2.809312607,2.679239702,0.192159277,-1.673242113,4.033731987,9.846451842,0.896567292,3.138476737,-1.665755018,2.509826737,5.249697332,4.823034357,1.777466832,11.63037923,3.524443567,3.858070262,3.772045552,5.202931092,4.352885337,2.148371457,4.838588652,4.858978162,2.089683967,2.534920722,6.472369212,0.522048897,2.790915942,2.426212227,2.959941902,2.208304652
M_D_R_3,root,MS,day,1.602893634,2.536118939,2.874008374,4.739572264,4.281781754,2.823901994,3.927229684,-0.214613856,10.23047925,3.686970709,1.339535499,2.407239464,4.829286429,9.512862014,3.630365194,4.473883299,4.167157234,3.188828304,9.394111404,5.667343279,9.014548569,1.021847399,4.105609439,6.118503659,5.130033159,5.971874929,3.566061269,1.340718089,6.708933584,8.311273159,1.335703964,1.492329634,-0.799621451,2.218852484,0.616599684,10.07612698,4.533677994,-2.914170224,1.661116849,3.252741899,-0.253290986,0.872264119,7.050851074,-0.208127041,4.710304754,5.434526309,2.783360419,2.882763129,0.368513624,-1.431161801,4.499724269,9.483948759,0.738389964,2.789137459,-1.678226181,2.693118389,4.948813374,4.746635129,1.878083059,11.20347796,3.696048279,3.755879124,3.880914394,5.034338389,3.659136754,2.538126559,5.083964034,4.611727259,2.224303274,2.283491734,5.435683954,0.678964889,2.769333024,2.138775334,3.423708984,2.479436044
M_N_R_1,root,MS,night,1.063855517,2.503187967,2.988505447,4.215080877,4.617281072,2.489835342,3.802726767,-2.002028543,11.13719016,8.026914397,-2.157545848,1.547134527,3.823226957,3.900527257,3.623610802,3.956822787,2.965170722,3.401431457,11.05132307,6.131916762,3.044263197,1.044255667,3.930577727,2.384437777,5.464277507,6.361929522,2.986266042,0.069921017,6.070648007,10.14212519,1.212331362,1.572567617,-0.671907053,1.688721967,-3.531532214,12.00360056,3.876253232,-2.667248403,-0.398807708,1.763471817,2.384562762,0.646674312,8.174796287,4.019956542,2.151556322,4.324735217,1.305242172,2.849034727,-0.877104393,-2.395324328,4.133079027,8.088012367,1.220709627,3.159147127,-1.997381333,2.507672042,4.002148432,3.455094797,1.959724572,9.916480012,1.460817517,1.975926917,3.056625012,4.665463447,3.937283007,1.291908257,4.222965247,5.104043742,1.854839327,2.774740062,6.126119762,0.166920317,1.705863592,3.555516987,2.833749882,1.269915782
M_N_R_2,root,MS,night,0.950599911,2.084328536,3.319663321,4.398506071,4.532148851,2.413744531,3.392865506,-2.006637639,10.44634743,9.281468211,-1.893204744,2.059036591,4.591540346,3.855114721,3.724321941,4.711043891,3.313196226,3.433185101,13.06681244,5.969912811,2.158166051,1.413174891,3.747960906,2.157561716,5.256320076,6.251023856,2.422070251,0.337378926,6.788014836,9.265099416,1.242946591,1.330865586,-0.496464509,2.096414276,-3.210408635,11.35028032,4.584212686,-2.555719129,-0.634240114,2.295458976,4.087763796,0.807226961,7.574953821,3.411318666,2.086267431,5.380227976,1.505405971,2.677677336,-0.503420329,-2.110492844,3.939871446,7.819519941,1.691168751,3.097930996,-2.019612554,2.997094921,4.078333216,3.478190011,2.051833316,11.12319066,1.586951711,2.336434856,3.257270701,5.189152071,4.628888231,1.834650836,3.980377261,4.907332371,1.970611541,2.805389301,6.378266226,0.092222621,2.475353436,2.968414096,2.908990916,1.500137016
M_N_R_3,root,MS,night,0.959665809,2.383929749,2.704444329,5.093236999,5.214666299,2.421256244,4.332266674,-1.522043921,9.871428069,7.028486249,-1.244348696,2.462493094,4.144344619,5.015059854,4.019167519,5.547071669,3.457077549,4.172380894,11.43034677,7.181392784,4.646620289,1.518571839,3.874652609,2.664473129,7.564196354,6.946625504,2.955547849,0.404423474,7.773278629,10.3290505,1.400538164,2.309933754,-1.452101181,2.170133389,-2.994381021,10.6550541,5.106336909,-2.489990686,-0.636885391,2.338533974,-0.361054876,0.562668379,8.691306309,3.743550649,2.666525069,5.164805049,2.053159134,2.508379744,0.834725934,-1.533232981,4.584933614,6.492715704,1.559226174,3.763529709,-2.274888096,3.740900964,5.172621584,3.985615414,2.586067124,9.036293529,2.490286394,3.348173804,3.526273104,5.091259009,4.381482764,2.023978664,4.282868834,4.798496989,1.990924694,3.045171644,6.455574399,0.202332969,2.579522419,3.493523479,2.917886689,1.175836504
M.25_N_R_1,root,MS25,night,0.670918577,1.705589833,2.293166348,4.375855498,4.607301813,2.283684588,2.801282723,-2.086812658,10.17316965,7.135692788,-2.220357113,1.766434183,3.513789588,7.480060478,3.393147983,3.996036738,3.462351883,2.181692788,13.30077659,6.493485708,6.886024818,0.976667108,3.460703188,1.909615923,5.305030103,6.348985238,2.563068548,0.143742178,5.202097238,8.854225708,0.926951217,1.644174063,-0.469999003,1.899262948,-3.687422953,10.14728603,4.843508633,-3.650819053,-0.915128718,2.483448563,1.421522173,-0.131601288,6.932204133,4.009010888,2.303102168,4.509098628,1.406582868,2.793813353,-0.066266652,-2.103036288,3.934828423,6.893945278,1.011399418,2.727542418,-2.272794008,2.716255658,3.677159693,3.653364268,1.797906873,8.528525458,2.523171148,2.313689123,2.919367413,4.375680058,3.525207903,1.344072603,3.132696678,4.674121723,1.918165998,2.934265573,6.376685988,0.043156073,2.296613793,0.749362158,2.082094353,0.152616153
M.25_N_R_2,root,MS25,night,0.71579732,1.639921735,2.459978335,4.288809815,4.39091645,2.026591865,3.115008855,-2.208624315,9.62186434,7.709734735,-2.567695231,1.5341136,4.48287142,4.7671829,3.491470265,4.075805975,3.13201111,2.9320306,16.41852522,5.509934145,3.76470139,0.858989845,3.69185513,1.766017775,4.686101955,5.474610235,2.72118723,-0.05061214,5.11782786,8.135385315,0.90963474,0.91496599,-0.023724615,1.88514071,-3.604877358,8.55211611,4.22976514,-3.105668975,-0.73041453,2.101860755,1.04068998,0.49533937,8.125895615,3.285192755,1.838256425,4.23882535,1.302166645,2.458341605,-0.03037378,-1.583615615,3.91273503,8.183573525,1.223292985,2.93859734,-1.743505495,2.374187675,3.465617775,2.854372955,1.72788863,11.12129087,1.516481935,1.984818075,2.90732402,5.115242275,3.953262775,1.199450075,4.361491995,4.558816385,1.642853635,2.34000137,5.67302365,-0.01921484,1.91624897,1.152590845,2.77172367,1.070346735
M.25_N_R_3,root,MS25,night,0.533876075,1.394252725,3.14513572,4.442702325,4.571156615,1.61910501,3.100183905,-2.166499225,10.82034844,7.976920335,-2.054938495,1.648940945,4.76591097,9.268829795,3.892889815,4.166299375,3.94597526,2.418272695,16.14680286,5.888629145,8.673658285,1.35716927,3.522189185,2.35456587,5.211040765,6.46677657,1.966945645,-0.077306605,6.29660318,10.97128752,1.116534115,0.92420467,-0.48902886,2.430368715,-3.280783528,11.21426646,4.738444985,-2.764856634,-0.5236831,2.320385325,3.40407749,0.709641515,7.709060205,3.17652923,2.30972423,4.71704495,1.756838225,2.476765215,0.16919566,-1.58695371,3.786460455,9.739971555,1.830703935,3.124223555,-1.774350285,3.198903095,4.318002075,3.0473044,1.83379365,11.37455173,2.85255639,2.45786909,3.377140635,5.098732445,5.122991535,1.42600259,3.35776749,5.07490407,1.6919291,3.11016795,6.8567046,0.01307037,2.477930105,1.514571945,2.766470915,0.65483481
P_D_R_1,root,pot,day,1.494708748,1.697519298,1.580933883,3.415567548,3.768422023,3.216184418,2.490391743,-0.192348442,10.82563132,4.550173023,8.099757288,2.159569788,5.271980278,8.858602753,3.402971483,4.539085343,5.621717348,4.562498263,8.593357893,5.920989163,14.37706456,0.477605518,3.421769718,10.89214637,5.781887968,5.834816433,4.537911763,0.970707568,2.769532463,8.401292383,1.549463053,0.946096898,-1.689860617,2.765025918,6.564019058,7.595357003,5.404660558,-3.124955347,2.664401988,2.300674043,-2.207302802,-0.511559922,5.857492293,0.363246593,6.171405698,5.377701718,3.604386643,2.513105498,-0.729500182,-2.981162517,6.124614633,7.546406953,1.895258143,2.477377008,-2.484609517,2.610506698,6.309552568,7.755793393,1.973806858,9.180987133,8.222033483,7.897729088,3.726476648,5.331108923,2.996644908,6.210519423,3.302892058,4.492195238,1.760150618,1.404824298,3.857594343,0.246709913,2.536357463,-0.004978772,1.987277493,1.374118378
