image, x, y, angle, count
9_10_11.tif,0,0,-90,0.3683707416
9_10_11.tif,0,0,-88,0.1734226346
9_10_11.tif,0,0,-86,0.1808209717
9_10_11.tif,0,0,-84,0.205276683
9_10_11.tif,0,0,-82,0.1989908069
9_10_11.tif,0,0,-80,0.2197794169
9_10_11.tif,0,0,-78,0.2253777981
9_10_11.tif,0,0,-76,0.2110314071
9_10_11.tif,0,0,-74,0.2159534693
9_10_11.tif,0,0,-72,0.2318278253
9_10_11.tif,0,0,-70,0.2359582484
9_10_11.tif,0,0,-68,0.2638054192
9_10_11.tif,0,0,-66,0.2775862515
9_10_11.tif,0,0,-64,0.3016383946
9_10_11.tif,0,0,-62,0.3133686781
9_10_11.tif,0,0,-60,0.3512311876
9_10_11.tif,0,0,-58,0.3735617101
9_10_11.tif,0,0,-56,0.4021849334
9_10_11.tif,0,0,-54,0.4433035851
9_10_11.tif,0,0,-52,0.4988315701
9_10_11.tif,0,0,-50,0.5202954412
9_10_11.tif,0,0,-48,0.5907571912
9_10_11.tif,0,0,-46,0.6477025747
9_10_11.tif,0,0,-44,0.7033029199
9_10_11.tif,0,0,-42,0.7159899473
9_10_11.tif,0,0,-40,0.7450022697
9_10_11.tif,0,0,-38,0.7141107917
9_10_11.tif,0,0,-36,0.7104611397
9_10_11.tif,0,0,-34,0.7284399867
9_10_11.tif,0,0,-32,0.7880841494
9_10_11.tif,0,0,-30,0.8914274573
9_10_11.tif,0,0,-28,0.9286641479
9_10_11.tif,0,0,-26,1.1342493296
9_10_11.tif,0,0,-24,1.3264045715
9_10_11.tif,0,0,-22,1.6306726933
9_10_11.tif,0,0,-20,1.7469604015
9_10_11.tif,0,0,-18,2.021064043
9_10_11.tif,0,0,-16,2.3027310371
9_10_11.tif,0,0,-14,2.6894128323
9_10_11.tif,0,0,-12,3.4885652065
9_10_11.tif,0,0,-10,4.4580497742
9_10_11.tif,0,0,-8,5.3670258522
9_10_11.tif,0,0,-6,5.5857615471
9_10_11.tif,0,0,-4,5.0164327621
9_10_11.tif,0,0,-2,2.9147644043
9_10_11.tif,0,0,1.27222193825778E-013,9.2598648071
9_10_11.tif,0,0,2,3.5633914471
9_10_11.tif,0,0,4,4.8379926682
9_10_11.tif,0,0,6,4.2863202095
9_10_11.tif,0,0,8,3.787324667
9_10_11.tif,0,0,10,2.7240581512
9_10_11.tif,0,0,12,1.6945482492
9_10_11.tif,0,0,14,1.1454312801
9_10_11.tif,0,0,16,1.0512696505
9_10_11.tif,0,0,18,1.0456784964
9_10_11.tif,0,0,20,0.9491286874
9_10_11.tif,0,0,22,1.025398016
9_10_11.tif,0,0,24,0.8673641682
9_10_11.tif,0,0,26,0.7901645303
9_10_11.tif,0,0,28,0.6769925356
9_10_11.tif,0,0,30,0.6056954861
9_10_11.tif,0,0,32,0.5219421983
9_10_11.tif,0,0,34,0.4500611424
9_10_11.tif,0,0,36,0.4219428599
9_10_11.tif,0,0,38,0.3950350285
9_10_11.tif,0,0,40,0.3415574729
9_10_11.tif,0,0,42,0.3203201294
9_10_11.tif,0,0,44,0.2808692157
9_10_11.tif,0,0,46,0.2509296536
9_10_11.tif,0,0,48,0.2263858914
9_10_11.tif,0,0,50,0.2186829448
9_10_11.tif,0,0,52,0.2197275311
9_10_11.tif,0,0,54,0.2289442569
9_10_11.tif,0,0,56,0.2293207794
9_10_11.tif,0,0,58,0.2343823761
9_10_11.tif,0,0,60,0.2411057651
9_10_11.tif,0,0,62,0.2302890569
9_10_11.tif,0,0,64,0.2363420576
9_10_11.tif,0,0,66,0.2291819304
9_10_11.tif,0,0,68,0.2254881263
9_10_11.tif,0,0,70,0.2169202119
