image, length, angle, x, y
9_10_11.tif,1.4142135,45,6.4357862,0.47619045
9_10_11.tif,1.4142135,45,6.493506,0.7215007
9_10_11.tif,1.4142135,45,6.2481956,1.2409811
9_10_11.tif,1.4142135,45,6.305916,1.7460316
9_10_11.tif,1.4142135,45,6.147186,1.8903317
9_10_11.tif,1.4142135,45,6.147186,2.6984124
9_10_11.tif,1.4142135,45,6.320346,3.9538238
9_10_11.tif,1.4142135,45,6.176046,3.9682536
9_10_11.tif,2.236068,26.565048,6.450216,0.83694077
9_10_11.tif,2.236068,63.43495,6.2626257,1.6738815
9_10_11.tif,2.236068,63.43495,6.147186,3.9249637
9_10_11.tif,2.236068,63.43495,8.037518,20.51948
9_10_11.tif,2.828427,-45,6.695526,0.83694077
9_10_11.tif,2.828427,-45,5.8730154,0.8658008
9_10_11.tif,2.828427,-45,6.305916,1.2842712
9_10_11.tif,2.828427,-45,6.291486,4.949495
9_10_11.tif,2.828427,45,9.249639,18.369408
9_10_11.tif,3.1622777,18.434952,6.2770557,4.256854
9_10_11.tif,3.1622777,71.56505,6.161616,4.343434
9_10_11.tif,3.1622777,18.434952,10.79365,12.020202
9_10_11.tif,3.6055512,33.69007,6.507936,0.25974023
9_10_11.tif,3.6055512,33.69007,6.464646,0.40404037
9_10_11.tif,3.6055512,56.309937,6.6089463,0.8658008
9_10_11.tif,3.6055512,33.69007,6.695526,0.9090909
9_10_11.tif,3.6055512,-33.690067,6.392496,1.1832612
9_10_11.tif,3.6055512,33.69007,6.291486,1.5007215
9_10_11.tif,3.6055512,-56.309933,3.4776332,3.0447328
9_10_11.tif,3.6055512,-56.309933,6.190476,3.3189032
9_10_11.tif,3.6055512,-33.690067,6.291486,4.0115438
9_10_11.tif,3.6055512,-56.309933,6.176046,4.9062047
9_10_11.tif,3.6055512,33.69007,3.7085135,9.307359
9_10_11.tif,3.6055512,-33.690067,4.112554,20.562769
9_10_11.tif,3.6055512,33.69007,10.418469,23.376621
9_10_11.tif,3.6055512,-33.690067,9.379509,24.516592
9_10_11.tif,4.1231055,75.96376,6.1327558,2.0779219
9_10_11.tif,4.1231055,75.96376,6.0317454,3.203463
9_10_11.tif,4.1231055,75.96376,6.219336,3.9393938
9_10_11.tif,4.1231055,14.036247,8.340548,16.147184
9_10_11.tif,4.1231055,14.036247,1.5873015,28.528137
9_10_11.tif,4.2426405,45,6.378066,1.3131312
9_10_11.tif,4.2426405,45,4.242424,4.8340545
9_10_11.tif,4.2426405,-45,2.8860028,25.670994
9_10_11.tif,4.472136,-63.434948,6.190476,1.6450216
9_10_11.tif,4.472136,-63.434948,6.190476,2.6695526
9_10_11.tif,4.472136,63.43495,6.190476,4.025974
9_10_11.tif,5,36.869896,6.406926,1.2698412
9_10_11.tif,5.0990195,11.309929,6.580086,0.7647907
9_10_11.tif,5.0990195,78.69006,6.507936,0.88023084
9_10_11.tif,5.3851647,-68.19859,6.507936,0.18759018
9_10_11.tif,5.3851647,-21.801407,6.320346,1.5873015
9_10_11.tif,5.3851647,21.801407,3.7373736,3.7229435
9_10_11.tif,5.656854,45,6.219336,1.7027416
9_10_11.tif,5.656854,-45,6.320346,4.170274
