image, length, angle, x, y
50-22-bay-1-1.tif,9.899495,-45.0,5.5411253,0.0144300135
50-22-bay-1-1.tif,7.615773,-23.198593,5.411255,0.08658008
50-22-bay-1-1.tif,5.3851647,-68.19859,5.440115,0.2164502
50-22-bay-1-1.tif,16.27882,-10.619652,5.367965,0.23088022
50-22-bay-1-1.tif,13.416408,-63.434948,5.151515,0.27417025
50-22-bay-1-1.tif,11.18034,-63.434948,5.1803746,0.36075035
50-22-bay-1-1.tif,5.0,-36.869896,5.815295,0.36075035
50-22-bay-1-1.tif,14.3178215,-77.90524,5.5699854,0.37518036
50-22-bay-1-1.tif,10.0,-36.869896,5.079365,0.4329004
50-22-bay-1-1.tif,28.071337,-4.085617,5.8008657,0.44733042
50-22-bay-1-1.tif,6.3245554,71.56505,5.411255,0.47619045
50-22-bay-1-1.tif,10.049875,5.710594,5.367965,0.5050505
50-22-bay-1-1.tif,7.81025,-50.194427,4.949495,0.56277055
50-22-bay-1-1.tif,3.6055512,-33.690067,5.0505047,0.5916306
50-22-bay-1-1.tif,25.806976,-35.537678,4.6897545,0.6637806
50-22-bay-1-1.tif,3.6055512,56.309937,4.949495,0.6637806
50-22-bay-1-1.tif,1.4142135,45.0,5.2092347,0.6637806
50-22-bay-1-1.tif,10.630146,41.18593,5.3823953,0.6637806
50-22-bay-1-1.tif,25.317978,-9.090279,5.295815,0.69264066
50-22-bay-1-1.tif,17.464249,-76.75948,4.8051944,0.83694077
50-22-bay-1-1.tif,28.01785,34.824486,5.425685,0.88023084
50-22-bay-1-1.tif,13.416408,26.565048,5.8297253,0.89466083
50-22-bay-1-1.tif,7.81025,-39.805573,5.0505047,0.93795085
50-22-bay-1-1.tif,34.132095,5.04245,5.0072145,1.024531
50-22-bay-1-1.tif,3.6055512,33.69007,5.310245,1.067821
50-22-bay-1-1.tif,10.770329,-68.19859,4.271284,1.082251
50-22-bay-1-1.tif,1.4142135,45.0,5.266955,1.096681
50-22-bay-1-1.tif,15.6205,39.805573,5.339105,1.1255411
50-22-bay-1-1.tif,3.1622777,18.434952,5.266955,1.1544011
50-22-bay-1-1.tif,4.2426405,45.0,6.0894656,1.1544011
50-22-bay-1-1.tif,17.464249,-13.240517,5.2236648,1.2121211
50-22-bay-1-1.tif,3.6055512,56.309937,5.656565,1.2265512
50-22-bay-1-1.tif,14.56022,-15.945396,5.1803746,1.2409811
50-22-bay-1-1.tif,31.622776,71.56505,6.406926,1.2409811
50-22-bay-1-1.tif,11.18034,-63.434948,5.483405,1.2554111
50-22-bay-1-1.tif,5.8309517,30.963753,5.8730154,1.3131312
50-22-bay-1-1.tif,10.198039,-11.309929,5.440115,1.3419913
50-22-bay-1-1.tif,1.4142135,45.0,6.0606055,1.4141413
50-22-bay-1-1.tif,1.4142135,45.0,6.0317454,1.4430014
50-22-bay-1-1.tif,1.4142135,45.0,6.695526,1.4718614
50-22-bay-1-1.tif,7.615773,-66.80141,5.137085,1.4862914
50-22-bay-1-1.tif,6.3245554,-18.434952,5.5844154,1.4862914
50-22-bay-1-1.tif,7.81025,50.194427,5.454545,1.5007215
50-22-bay-1-1.tif,7.2111025,-33.690067,5.353535,1.5295814
50-22-bay-1-1.tif,5.8309517,-59.036243,4.949495,1.5440115
50-22-bay-1-1.tif,2.236068,63.43495,5.0649347,1.5440115
50-22-bay-1-1.tif,5.0,53.130096,5.252525,1.5584414
50-22-bay-1-1.tif,8.5440035,-20.556046,5.1948047,1.5728714
50-22-bay-1-1.tif,27.784887,-59.74356,4.588744,1.5873015
50-22-bay-1-1.tif,11.045361,5.1944275,5.108225,1.5873015
50-22-bay-1-1.tif,6.3245554,-18.434952,5.5555553,1.6017315
50-22-bay-1-1.tif,1.4142135,45.0,5.339105,1.6450216
50-22-bay-1-1.tif,4.2426405,-45.0,5.411255,1.6594516
50-22-bay-1-1.tif,8.246211,-75.96376,5.2236648,1.7027416
50-22-bay-1-1.tif,7.2111025,-56.309933,5.440115,1.7171715
50-22-bay-1-1.tif,15.297058,11.309929,5.5699854,1.7171715
50-22-bay-1-1.tif,4.2426405,-45.0,5.151515,1.7316016
50-22-bay-1-1.tif,5.0,53.130096,6.1327558,1.7460316
50-22-bay-1-1.tif,7.071068,8.130104,5.353535,1.7748916
50-22-bay-1-1.tif,1.4142135,45.0,5.122655,1.7893217
50-22-bay-1-1.tif,5.0990195,11.309929,5.425685,1.7893217
50-22-bay-1-1.tif,20.248457,20.224861,5.137085,1.8181818
50-22-bay-1-1.tif,36.124783,4.7636414,4.9927845,1.8326117
50-22-bay-1-1.tif,11.18034,-63.434948,4.6464643,1.9047618
50-22-bay-1-1.tif,8.5440035,69.443954,5.440115,1.9047618
50-22-bay-1-1.tif,6.3245554,-18.434952,5.367965,1.9191918
50-22-bay-1-1.tif,20.22375,8.530769,5.5844154,1.9769119
50-22-bay-1-1.tif,6.4031243,-38.65981,5.281385,2.034632
50-22-bay-1-1.tif,5.8309517,30.963753,5.3823953,2.034632
50-22-bay-1-1.tif,2.236068,26.565048,5.252525,2.135642
50-22-bay-1-1.tif,5.656854,45.0,5.122655,2.178932
50-22-bay-1-1.tif,14.422205,56.309937,5.281385,2.193362
50-22-bay-1-1.tif,2.236068,63.43495,5.2236648,2.207792
50-22-bay-1-1.tif,6.3245554,-18.434952,5.165945,2.2655122
50-22-bay-1-1.tif,6.708204,-63.434948,5.497835,2.294372
50-22-bay-1-1.tif,26.172504,6.5819473,5.627705,2.294372
50-22-bay-1-1.tif,6.0827627,9.462318,5.483405,2.3520923
50-22-bay-1-1.tif,23.409399,-70.01689,4.098124,2.3665223
50-22-bay-1-1.tif,3.1622777,18.434952,5.3823953,2.3809521
50-22-bay-1-1.tif,1.4142135,45.0,5.137085,2.3953822
50-22-bay-1-1.tif,5.0,-36.869896,5.238095,2.3953822
50-22-bay-1-1.tif,3.6055512,33.69007,4.025974,2.4242423
50-22-bay-1-1.tif,3.6055512,56.309937,5.151515,2.4242423
50-22-bay-1-1.tif,25.806976,-35.537678,4.8917747,2.4531024
50-22-bay-1-1.tif,2.236068,63.43495,5.425685,2.4531024
50-22-bay-1-1.tif,4.2426405,-45.0,5.367965,2.4675324
50-22-bay-1-1.tif,11.661903,30.963753,5.2092347,2.4819622
50-22-bay-1-1.tif,10.198039,11.309929,5.497835,2.4819622
50-22-bay-1-1.tif,25.179358,83.15723,5.8874454,2.4819622
50-22-bay-1-1.tif,1.4142135,45.0,4.069264,2.5108223
50-22-bay-1-1.tif,18.384777,45.0,4.213564,2.5396824
50-22-bay-1-1.tif,21.633308,-56.309933,4.430014,2.5396824
50-22-bay-1-1.tif,13.038404,-57.52881,3.290043,2.5541124
50-22-bay-1-1.tif,26.683329,77.00539,3.4920633,2.5541124
50-22-bay-1-1.tif,5.0990195,11.309929,5.367965,2.5685425
50-22-bay-1-1.tif,2.236068,26.565048,3.4776332,2.5829725
50-22-bay-1-1.tif,6.0827627,9.462318,5.137085,2.5829725
50-22-bay-1-1.tif,26.400757,-52.696053,4.430014,2.6262624
50-22-bay-1-1.tif,2.236068,63.43495,5.295815,2.6406925
50-22-bay-1-1.tif,1.4142135,45.0,5.468975,2.6406925
50-22-bay-1-1.tif,8.062258,60.25511,5.5266953,2.6406925
50-22-bay-1-1.tif,5.8309517,-59.036243,5.1803746,2.6551225
50-22-bay-1-1.tif,3.1622777,18.434952,5.353535,2.6695526
