image, x, y, angle, count
60-22-col-wd-3-2.tif,0.0,0.0,-90.0,0.30179163813591003
60-22-col-wd-3-2.tif,0.0,0.0,-88.0,0.2435457706451416
60-22-col-wd-3-2.tif,0.0,0.0,-86.0,0.24765488505363464
60-22-col-wd-3-2.tif,0.0,0.0,-84.0,0.2729361355304718
60-22-col-wd-3-2.tif,0.0,0.0,-82.0,0.2602456510066986
60-22-col-wd-3-2.tif,0.0,0.0,-80.0,0.20914195477962494
60-22-col-wd-3-2.tif,0.0,0.0,-78.0,0.27431178092956543
60-22-col-wd-3-2.tif,0.0,0.0,-76.0,0.2853900194168091
60-22-col-wd-3-2.tif,0.0,0.0,-74.0,0.2952060401439667
60-22-col-wd-3-2.tif,0.0,0.0,-72.0,0.36098235845565796
60-22-col-wd-3-2.tif,0.0,0.0,-70.0,0.2890850007534027
60-22-col-wd-3-2.tif,0.0,0.0,-68.0,0.3235659897327423
60-22-col-wd-3-2.tif,0.0,0.0,-66.0,0.4979285001754761
60-22-col-wd-3-2.tif,0.0,0.0,-64.0,0.43750083446502686
60-22-col-wd-3-2.tif,0.0,0.0,-62.0,0.49377238750457764
60-22-col-wd-3-2.tif,0.0,0.0,-60.0,0.5993108153343201
60-22-col-wd-3-2.tif,0.0,0.0,-58.0,0.8083239793777466
60-22-col-wd-3-2.tif,0.0,0.0,-56.0,0.9613450169563293
60-22-col-wd-3-2.tif,0.0,0.0,-54.0,1.0315663814544678
60-22-col-wd-3-2.tif,0.0,0.0,-52.0,0.8864433169364929
60-22-col-wd-3-2.tif,0.0,0.0,-50.0,1.0181468725204468
60-22-col-wd-3-2.tif,0.0,0.0,-48.0,0.976061999797821
60-22-col-wd-3-2.tif,0.0,0.0,-46.0,1.6959353685379028
60-22-col-wd-3-2.tif,0.0,0.0,-44.0,1.1140577793121338
60-22-col-wd-3-2.tif,0.0,0.0,-42.0,1.1510751247406006
60-22-col-wd-3-2.tif,0.0,0.0,-40.0,1.2154967784881592
60-22-col-wd-3-2.tif,0.0,0.0,-38.0,1.180564284324646
60-22-col-wd-3-2.tif,0.0,0.0,-36.0,1.3960869312286377
60-22-col-wd-3-2.tif,0.0,0.0,-34.0,1.3795363903045654
60-22-col-wd-3-2.tif,0.0,0.0,-32.0,1.5593969821929932
60-22-col-wd-3-2.tif,0.0,0.0,-30.0,1.5871318578720093
60-22-col-wd-3-2.tif,0.0,0.0,-28.0,1.4843964576721191
60-22-col-wd-3-2.tif,0.0,0.0,-26.0,1.9407275915145874
60-22-col-wd-3-2.tif,0.0,0.0,-24.0,1.7339619398117065
60-22-col-wd-3-2.tif,0.0,0.0,-22.0,1.8932607173919678
60-22-col-wd-3-2.tif,0.0,0.0,-20.0,1.9144171476364136
60-22-col-wd-3-2.tif,0.0,0.0,-18.0,2.287774085998535
60-22-col-wd-3-2.tif,0.0,0.0,-16.0,1.8929976224899292
60-22-col-wd-3-2.tif,0.0,0.0,-14.0,2.505873441696167
60-22-col-wd-3-2.tif,0.0,0.0,-12.0,1.9779692888259888
60-22-col-wd-3-2.tif,0.0,0.0,-10.0,2.4079394340515137
60-22-col-wd-3-2.tif,0.0,0.0,-8.0,2.057323932647705
