Distance_From_Tip,Intensity,Reporter
0.7792,204,dr5
0.772,204.08,dr5
0.7648,204.32,dr5
0.7576,201.2,dr5
0.7503,198.88,dr5
0.7431,199,dr5
0.7359,201.28,dr5
0.7287,202.32,dr5
0.7215,203.32,dr5
0.7143,204.24,dr5
0.707,207,dr5
0.6998,205.56,dr5
0.6926,202.44,dr5
0.6854,200.4,dr5
0.6782,202.28,dr5
0.671,202,dr5
0.6638,200.96,dr5
0.6565,199.72,dr5
0.6493,201,dr5
0.6421,201.96,dr5
0.6349,200,dr5
0.6277,203.2426,dr5
0.6205,204.1716,dr5
0.6133,206.1655,dr5
0.606,215.8873,dr5
0.5988,217.9289,dr5
0.5916,218.0955,dr5
0.5844,219.9447,dr5
0.5772,221.069,dr5
0.57,226.2422,dr5
0.5627,230.4567,dr5
0.5555,238.3024,dr5
0.5483,246.1178,dr5
0.5411,248.0182,dr5
0.5339,245.3273,dr5
0.5267,232.9735,dr5
0.5195,231.6678,dr5
0.5122,232.3466,dr5
0.505,220.5725,dr5
0.4978,224.9014,dr5
0.4906,230.6257,dr5
0.4834,240.3346,dr5
0.4762,238.3459,dr5
0.469,239.2703,dr5
0.4617,238.7075,dr5
0.4545,245.0292,dr5
0.4473,249.8984,dr5
0.4401,253.3131,dr5
0.4329,248.7521,dr5
0.4257,231.8524,dr5
0.4184,225.8941,dr5
0.4112,222.854,dr5
0.404,230.2873,dr5
0.3968,230.5577,dr5
0.3896,231.7613,dr5
0.3824,236.0645,dr5
0.3752,230.0067,dr5
0.3679,235.8658,dr5
0.3607,233.7389,dr5
0.3535,228.4425,dr5
0.3463,232.1807,dr5
0.3391,227.7229,dr5
0.3319,227.0177,dr5
0.3247,230.9346,dr5
0.3174,227.2676,dr5
0.3102,231.5281,dr5
0.303,228.67,dr5
0.2958,224.3782,dr5
0.2886,223.569,dr5
0.2814,235.8955,dr5
0.2741,234.001,dr5
0.2669,235.0294,dr5
0.2597,232.8506,dr5
0.2525,238.5896,dr5
0.2453,244.5074,dr5
0.2381,234.7297,dr5
0.2309,235.5626,dr5
0.2236,234.3473,dr5
0.2164,233.0469,dr5
0.2092,234.675,dr5
0.202,240.5798,dr5
0.1948,240.9346,dr5
0.1876,249.8873,dr5
0.1804,255.7925,dr5
0.1731,253.8754,dr5
0.1659,248.4357,dr5
0.1587,255.0603,dr5
0.1515,264.5874,dr5
0.1443,258.0345,dr5
0.1371,263.0238,dr5
0.1298,264.0009,dr5
0.1226,270.0167,dr5
0.1154,265.8456,dr5
0.1082,262.081,dr5
0.101,260.5195,dr5
0.0938,269.101,dr5
0.0866,269.2184,dr5
0.0793,267.2015,dr5
0.0721,269.103,dr5
0.0649,280.3037,dr5
0.0577,292.958,dr5
0.0505,314.9834,dr5
0.0433,355.1797,dr5
0.0361,396.9199,dr5
0.0288,449.516,dr5
0.0216,497.371,dr5
0.0144,596.5937,dr5
0.0072,512.9755,dr5
0,324.6002,dr5
0.4834,208,dr5
0.4762,207.0584,dr5
0.469,204.9666,dr5
0.4618,206.8413,dr5
0.4545,208.122,dr5
0.4473,207.4164,dr5
0.4401,205.6997,dr5
0.4329,205.1006,dr5
0.4257,206.4248,dr5
0.4185,209.9776,dr5
0.4112,210.4195,dr5
0.404,211.0546,dr5
0.3968,212.3201,dr5
0.3896,209.6499,dr5
0.3824,211.1223,dr5
0.3752,215.0208,dr5
0.368,215.6556,dr5
0.3607,220.5453,dr5
