image,time_in_serie,rep_id,intensity,intensity_ratio,environment,feret,rep_x,rep_y
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,73eb6bff-0ed3-4fe3-b15d-ce1fd77236ed,133.0,1.9172932,-1.0,29.15476,866,267
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,f37a0d89-aac1-4452-93ab-7629bb5e5f8f,214.15555,1.1905158,-1.0,48.60041,1078,301
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,eed2d9d4-d531-4cb1-8b32-38e5d9ffcbd4,221.71951,1.1501018,-1.0,81.78631,798,383
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,613715a9-a98b-4046-b44d-d4cfde744d5f,147.18182,1.7164916,-1.0,55.443665,836,456
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,fb371c46-a866-4f6d-8ab1-18525452d3c3,190.04819,1.3335869,-1.0,81.9878,794,498
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,f021a806-b7d5-4885-8881-8c66297e242b,211.84848,1.2036905,-1.0,34.48188,736,526
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,d693eb1e-33fe-4786-94ec-295e266d9728,206.07317,1.236241,-1.0,34.785053,764,529
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,5a6876d6-261f-4266-970c-b33ba02b00c9,212.1573,1.1934646,-1.0,94.41398,897,600
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,d258f9a4-9f9e-49a5-94bc-5542dbf3f8da,191.45349,1.2866079,-1.0,88.54378,1189,610
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,725dc876-967f-4721-a31f-57dcf5b76805,198.44827,1.2849696,-1.0,30.413813,963,588
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,fb326066-acac-4099-8420-8d1a26701ede,200.66667,1.2707641,-1.0,31.320919,1006,632
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,dbeed375-b30e-4a03-9e67-de18d95067a0,230.23404,1.0958322,-1.0,43.416588,930,651
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,1ee6714c-6942-44d2-94bf-4229a32ff19d,133.51515,1.9098955,-1.0,35.468296,869,651
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,3580eda7-c4af-4ff5-bc3d-d3e18eb11ab7,230.23334,1.107572,-1.0,32.695564,975,642
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,038e2066-152a-4731-8536-21c24e20cb9a,197.2,1.2797499,-1.0,28.231188,942,683
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,8b6fb768-33f3-42fd-8710-8db15b9e9a9c,153.93939,1.656496,-1.0,32.31099,1063,689
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,640b1920-e20a-4d9a-b9b2-1f5c0f0a69c0,161.15,1.5823767,-1.0,67.20119,502,740
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,4bea489a-e76c-49a9-8c9e-035ca3fc4c96,168.8,1.4424509,-1.0,41.231056,1142,736
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,c9b75616-39b5-4e64-83f8-1c68da297412,215.44118,1.1836177,-1.0,33.54102,1180,729
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,8b6be919-4e9b-4cc4-b690-3d3dae726d4c,147.42223,1.7053059,-1.0,45.891174,1003,757
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,ac4a4256-fa58-47d0-9635-fc0bc7c4236c,210.51852,1.2112949,-1.0,59.03389,1133,750
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,4e758407-49cb-4d11-9b7b-8cda4d79b3eb,147.35,1.7305734,-1.0,44.687805,1057,769
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,a2e196fe-8e6e-48b1-a912-21ca568fecc8,244.07143,1.0447761,-1.0,29.966648,1166,779
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,b7744d30-0ec3-430e-90a6-70b7681d2749,171.7027,1.482764,-1.0,37.589893,476,785
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,96c54055-bf35-433e-ad17-7713c94fa0f0,193.41667,1.3183972,-1.0,109.48972,859,833
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,57f25aa3-22a2-4a38-afb9-624f12573ead,171.40244,1.4877268,-1.0,79.30952,1217,826
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,3c4e92e7-8f64-4301-86a4-9e51ef49552a,168.7561,1.5035409,-1.0,43.081318,1014,809
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,a1a60864-2dce-48a0-9b42-4b96387e0c2f,152.74359,1.6676179,-1.0,39.293766,1096,811
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,05cbafe8-01ce-4f8f-9e05-7daa4085b2a6,155.35294,1.6385839,-1.0,34.48188,1081,812
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,ae8714a9-004f-4889-a71b-de720ceb0a16,219.51923,1.1616294,-1.0,52.201534,1159,818
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,81093a26-a4cf-4873-919c-d18b0eb79b9c,246.0,1.0365853,-1.0,28.284271,1000,815
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,db3105ad-7751-4a1a-9951-86eaa0d09d13,151.18182,1.6867107,-1.0,44.72136,897,838
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,008a6a45-f653-45d8-8fd4-c3d67e5d6cff,212.78723,1.1983802,-1.0,48.052055,934,842
