image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,aecf273c-46f9-42de-b7ba-cf1f4dddaba6,25.495098,78.69004866895963,1011,1,986,6,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,c847948e-22b3-4e27-aef4-04341fa3929b,37.161808,23.80594064991712,957,8,942,42,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,06a77c84-0a18-4bd2-9549-8dea53b60978,13.152946,8.746165831982694,982,11,980,24,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,df901cd5-7c6b-46f6-85e5-b2c60a175599,30.528675,58.39250230486593,933,17,907,33,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,6f9f0664-3953-4683-b983-4dd7ada18023,30.528675,31.60749200293239,942,38,926,64,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,cf4fcb25-332f-4ddc-be32-0e633e0cecec,22.825424,28.810802745378965,954,41,943,61,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,ae768f80-4c07-467d-a9c8-8ff4a5174379,26.683329,12.994626824491377,980,43,986,69,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,0a67a2a4-e783-4f70-a640-f0ae999ea013,31.622776,34.69514731912835,979,53,961,79,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,894514bf-045f-4a1a-b1c7-c1bf9ebfe81d,25.495098,48.1798272394351,941,64,960,81,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,92c3f49a-b08e-427a-8ec3-f64af9ccd3df,42.48529,26.565063867035462,931,65,912,103,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,a79966db-17ba-49a3-b6a8-9e60e7e6a2bd,31.622776,34.69514868561902,986,73,1004,99,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,5ff6f08c-6239-4435-b502-590998085c0d,15.524175,14.931421219806197,985,74,981,89,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,09a73c0a-83d9-4f22-b57c-544719cf7862,62.433964,31.90810228868301,941,76,908,129,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,9c129bec-e949-4d87-bbb6-64375e17fdb8,20.615528,50.906136861290065,992,90,976,103,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,c30797b9-fd7d-4755-a4b0-81f3f825df9c,12.083046,24.443963647156977,981,106,986,117,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,b122848a-9e0a-4f63-8670-506b80a26f0d,28.160255,16.504359144146747,903,108,895,135,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,2b01f869-c4ce-4917-8d27-ceeaf2abf71f,11.401754,15.255118911442082,958,108,961,119,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,6cad159b-16c0-4f26-aeba-0189c95d14c0,9.219544,40.60129385670842,980,108,974,115,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,a3d16da7-9cac-4287-8b06-2c720ae2f74b,13.892444,30.2564259435905,1003,110,996,122,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,c3ce5407-59db-4593-ad52-7be6e05df3ed,60.671246,8.53077035280785,1004,110,1013,170,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,eef3d402-b927-4313-aa8e-0bb59e2cebef,29.15476,30.963760334037033,984,116,969,141,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,1dc72334-386b-4ad2-ad05-bcd646b3e9be,14.21267,39.289407128936375,959,122,968,133,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,990d908e-0819-4389-b18c-0297d279db46,14.3178215,24.77514449314191,995,122,989,135,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,449a3746-ac31-4759-82b5-d9aa5a4eccc2,20.880613,16.699238101545575,888,132,882,152,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,c50728bd-f7c8-4c29-a288-f0ae86a808de,14.866069,47.726314972433954,988,135,977,145,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,4f5b2649-60f5-4c91-9376-e796d0611aa1,15.6205,50.19443114977474,976,142,964,152,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,9bdc9dcc-0eeb-418e-8235-063ada0b1778,24.738634,14.036256627184315,977,146,971,170,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,6e4f6763-f03f-4757-9cc7-a93969519edf,12.649111,18.434953094185886,965,155,961,167,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,3096f295-f71e-45aa-b886-7d2d2291168b,21.095022,31.429579235431902,997,156,986,174,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,3bd140fb-4f25-4333-af3e-bebe4d73e816,19.104973,6.009009869725787,897,159,899,178,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,d2aa9f73-1b54-48c8-a9e7-010e9b6c1f95,19.79899,45.00000398408835,1007,160,993,174,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,0e4c18b4-7f46-410f-b03e-55f6b3838543,15.297058,78.69007598971632,960,161,945,164,-1.0,-1,-1,-1,-1,-1,-1
