image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
60-15-col-wd-2.tif,1,680986bc-f764-45fc-bbcc-aa69c145e900,44.181442,5.1944415093100815,938,43,942,87,43.7925,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,0444671c-a5aa-4312-a7ee-d9d2a72ea049,112.1606,68.00887590148864,931,97,827,139,42.9573,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,24b968c9-8fff-492a-a43d-31ec007b4f43,34.43835,25.820984425344932,1016,128,1031,159,43.9815,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,96ba68cc-6709-445a-a409-7c5a69b13fbe,53.25411,34.28686593130169,850,131,820,175,42.5246,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,0ceac693-5baf-4f11-a4cb-f7ab7a46b9cb,160.52414,30.718911712670405,807,150,725,288,42.1083,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,ef97b065-fd62-4fe7-b990-3da738138eaf,46.572525,14.931421219806197,926,150,914,195,40.9326,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,d1d6d2db-2663-4ac8-bf29-3fb381f934ae,73.4983,33.9062891572392,1030,160,1071,221,42.9764,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,ec7fa4f5-b34c-4aac-bf9d-da4bdc263b41,31.400637,37.23483021859255,920,196,901,221,41.4309,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,6ad5b240-7802-49a1-aa92-3ea52f08907d,89.19641,47.72630267854629,933,204,999,264,40.94,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,3c2e8527-54e9-4790-810b-4ae7b1b53579,45.122055,12.80425579194474,1000,255,1010,299,42.1149,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,76fb7111-a5c2-4205-93df-55a5ee7caddc,102.528046,20.556056047045672,1146,255,1182,351,42.0174,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,c188b636-6b6d-4a6c-9a9f-bac7fc1a2966,31.622776,34.69514868561902,983,271,1001,297,42.2314,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,1125b87c-7429-432e-aebc-147e7e1c61f8,87.46428,5.906147220825403,957,287,966,374,44.3065,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,80772c25-f447-49d3-b71d-d8e6b64a0257,68.65858,12.619321589977517,876,292,891,359,42.5116,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,f4fb86b3-2c26-42e3-aea7-cc0f91a1fe5a,85.08819,29.57783435566205,1046,308,1088,382,42.5481,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,6f9f7e80-fa4d-458e-abd4-ed96983e8fbd,81.84131,26.878133784322813,979,331,1016,404,44.0956,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,ef097e5f-671a-4326-aee7-0c079d5706fa,50.96077,15.945405149720273,912,368,926,417,42.1494,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,923798ff-4aee-43d5-95ca-183b0dd6ede3,64.3506,32.94921436348969,962,369,927,423,42.1785,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,34922f62-ddb3-453e-bb85-2e472d7d7163,49.40648,54.05788803914811,965,375,1005,404,43.5824,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,5fd83a42-0e6a-468b-9977-fbf932575284,38.118237,4.513989376946029,966,377,963,415,42.7806,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,5e42982c-8367-42f7-b839-d303708f1a62,65.8559,48.077456364154955,1085,383,1134,427,42.5922,-1,-1,-1,-1,-1,-1
