"","experiment","das","accession","water","temp","transfer","plant","x","y","angle","count"
"1","42","21","bay","wd","c","9d","1.tif",0,0,90,0.380810707807541
"2","42","21","bay","wd","c","9d","1.tif",0,0,88,0.259045153856277
"3","42","21","bay","wd","c","9d","1.tif",0,0,86,0.295171916484833
"4","42","21","bay","wd","c","9d","1.tif",0,0,84,0.271490693092346
"5","42","21","bay","wd","c","9d","1.tif",0,0,82,0.269760012626648
"6","42","21","bay","wd","c","9d","1.tif",0,0,80,0.265377163887024
"7","42","21","bay","wd","c","9d","1.tif",0,0,78,0.304102569818497
"8","42","21","bay","wd","c","9d","1.tif",0,0,76,0.341942459344864
"9","42","21","bay","wd","c","9d","1.tif",0,0,74,0.327799409627914
"10","42","21","bay","wd","c","9d","1.tif",0,0,72,0.320939213037491
"11","42","21","bay","wd","c","9d","1.tif",0,0,70,0.393095761537552
"12","42","21","bay","wd","c","9d","1.tif",0,0,68,0.434424430131912
"13","42","21","bay","wd","c","9d","1.tif",0,0,66,0.453074246644974
"14","42","21","bay","wd","c","9d","1.tif",0,0,64,0.449470818042755
"15","42","21","bay","wd","c","9d","1.tif",0,0,62,0.520747244358063
"16","42","21","bay","wd","c","9d","1.tif",0,0,60,0.578735053539276
"17","42","21","bay","wd","c","9d","1.tif",0,0,58,0.747786343097687
"18","42","21","bay","wd","c","9d","1.tif",0,0,56,0.787240922451019
"19","42","21","bay","wd","c","9d","1.tif",0,0,54,0.789493143558502
"20","42","21","bay","wd","c","9d","1.tif",0,0,52,0.813182532787323
"21","42","21","bay","wd","c","9d","1.tif",0,0,50,0.881214022636414
"22","42","21","bay","wd","c","9d","1.tif",0,0,48,1.01352477073669
"23","42","21","bay","wd","c","9d","1.tif",0,0,46,1.48375701904297
"24","42","21","bay","wd","c","9d","1.tif",0,0,44,1.10179674625397
"25","42","21","bay","wd","c","9d","1.tif",0,0,42,1.18489265441895
"26","42","21","bay","wd","c","9d","1.tif",0,0,40,1.1497368812561
"27","42","21","bay","wd","c","9d","1.tif",0,0,38,1.26351475715637
"28","42","21","bay","wd","c","9d","1.tif",0,0,36,1.46446990966797
"29","42","21","bay","wd","c","9d","1.tif",0,0,34,1.51306784152985
"30","42","21","bay","wd","c","9d","1.tif",0,0,32,1.51350200176239
"31","42","21","bay","wd","c","9d","1.tif",0,0,30,1.46699786186218
"32","42","21","bay","wd","c","9d","1.tif",0,0,28,1.66928350925446
"33","42","21","bay","wd","c","9d","1.tif",0,0,26,1.90711688995361
"34","42","21","bay","wd","c","9d","1.tif",0,0,24,1.7578307390213
"35","42","21","bay","wd","c","9d","1.tif",0,0,22,1.5038902759552
"36","42","21","bay","wd","c","9d","1.tif",0,0,20,1.80984449386597
"37","42","21","bay","wd","c","9d","1.tif",0,0,18,1.92989242076874
"38","42","21","bay","wd","c","9d","1.tif",0,0,16,1.94779515266418
"39","42","21","bay","wd","c","9d","1.tif",0,0,14,1.90909957885742
"40","42","21","bay","wd","c","9d","1.tif",0,0,12,1.70280015468597
"41","42","21","bay","wd","c","9d","1.tif",0,0,10,1.8148580789566
"42","42","21","bay","wd","c","9d","1.tif",0,0,8,1.72126734256744
"43","42","21","bay","wd","c","9d","1.tif",0,0,6,1.73888468742371
"44","42","21","bay","wd","c","9d","1.tif",0,0,4,1.91469883918762
"45","42","21","bay","wd","c","9d","1.tif",0,0,2,2.42629718780518
"46","42","21","bay","wd","c","9d","1.tif",0,0,1.27222193825778e-13,3.47198534011841
"47","42","21","bay","wd","c","9d","1.tif",0,0,2,2.01841926574707
"48","42","21","bay","wd","c","9d","1.tif",0,0,4,1.89897525310516
"49","42","21","bay","wd","c","9d","1.tif",0,0,6,1.75438511371613
"50","42","21","bay","wd","c","9d","1.tif",0,0,8,1.97960472106934
"51","42","21","bay","wd","c","9d","1.tif",0,0,10,1.81796300411224
"52","42","21","bay","wd","c","9d","1.tif",0,0,12,2.40846490859985
"53","42","21","bay","wd","c","9d","1.tif",0,0,14,1.94975543022156
"54","42","21","bay","wd","c","9d","1.tif",0,0,16,2.00432300567627
"55","42","21","bay","wd","c","9d","1.tif",0,0,18,2.07602477073669
"56","42","21","bay","wd","c","9d","1.tif",0,0,20,1.91210150718689
"57","42","21","bay","wd","c","9d","1.tif",0,0,22,2.09070086479187
"58","42","21","bay","wd","c","9d","1.tif",0,0,24,1.99105966091156
"59","42","21","bay","wd","c","9d","1.tif",0,0,26,1.78615772724152
"60","42","21","bay","wd","c","9d","1.tif",0,0,28,1.60774958133698
"61","42","21","bay","wd","c","9d","1.tif",0,0,30,1.4928560256958
"62","42","21","bay","wd","c","9d","1.tif",0,0,32,1.40309524536133
"63","42","21","bay","wd","c","9d","1.tif",0,0,34,1.26229524612427
"64","42","21","bay","wd","c","9d","1.tif",0,0,36,1.18224382400513
"65","42","21","bay","wd","c","9d","1.tif",0,0,38,1.19317245483398
"66","42","21","bay","wd","c","9d","1.tif",0,0,40,1.09009766578674
"67","42","21","bay","wd","c","9d","1.tif",0,0,42,1.02756643295288
"68","42","21","bay","wd","c","9d","1.tif",0,0,44,1.43774259090424
"69","42","21","bay","wd","c","9d","1.tif",0,0,46,0.829735279083252
"70","42","21","bay","wd","c","9d","1.tif",0,0,48,0.863782227039337
"71","42","21","bay","wd","c","9d","1.tif",0,0,50,0.796862304210663
"72","42","21","bay","wd","c","9d","1.tif",0,0,52,0.742978513240814
"73","42","21","bay","wd","c","9d","1.tif",0,0,54,0.769986987113953
"74","42","21","bay","wd","c","9d","1.tif",0,0,56,0.60748690366745
"75","42","21","bay","wd","c","9d","1.tif",0,0,58,0.533772528171539
"76","42","21","bay","wd","c","9d","1.tif",0,0,60,0.476319283246994
