 angle,col_wd,col_ww,miz_wd,miz_ww,tir_wd,tir_ww
-90,0.2731049061,0.4228194058,0.3810456097,0.8985251784,0.9320247173,1.2735424042
-88,0.2344274372,0.4624783397,0.2000630498,0.5578839779,1.0400948524,1.1380596161
-86,0.2201436907,0.4900983274,0.1939616054,0.5570982099,0.9261401296,1.2131569386
-84,0.3155924678,0.4807507992,0.1829030812,0.5964123011,0.9117048979,1.0950644016
-82,0.2579272389,0.5971105695,0.2561033666,0.720107615,0.9107750058,1.5187016726
-80,0.220699355,0.470490247,0.2273392677,0.6049095392,1.0505350828,1.2269186974
-78,0.2913009524,0.5458139777,0.2343857884,0.6228798032,1.1551400423,1.5144165754
-76,0.3141736686,0.6684398055,0.2342469096,0.6768821478,0.9443036318,1.4109799862
-74,0.308637768,0.636978209,0.2343275249,0.6636458635,1.0144697428,1.1478222609
-72,0.3101667464,0.7372093201,0.290610671,0.7884258628,0.9688742757,1.070292592
-70,0.2885038853,0.8034274578,0.2629785538,0.8275857568,1.088088274,1.1308672428
-68,0.4164242446,0.978327632,0.2860290706,0.7550609112,1.1135299206,0.9398921132
-66,0.483135581,0.88659513,0.3102574646,0.9700205326,1.1079581976,1.1062072515
-64,0.5201755762,1.0322077274,0.281871736,1.2091450691,1.0527794361,1.013553381
-62,0.6462694407,0.9635438919,0.3334860206,0.9169248939,1.0788677931,0.8719998598
-60,0.6891564131,1.0439038277,0.3935219049,1.0274410248,1.1690305471,0.9097348452
-58,0.7599870563,1.1254113913,0.4168063998,1.024241209,1.083165288,0.8213015199
-56,0.8566474319,1.3108408451,0.5743855238,1.0036188364,1.1691930294,0.7371072769
-54,0.8234161139,1.1539282799,0.5532316566,1.0476737022,1.2038290501,0.809009552
-52,0.8715259433,1.1358896494,0.603492856,1.1167849302,1.2193006277,0.9371136427
-50,0.9872694612,1.2247754335,0.7465581894,1.0905820131,1.2022864819,0.7089735866
-48,1.0401326418,1.1259373426,0.7837150097,1.2220847607,1.0527280569,0.673760891
-46,1.6324632168,1.5425190926,1.1239845753,1.5516997576,1.1968817711,0.7445614934
-44,1.1515367031,1.1903806925,0.8967602849,1.1599742174,1.1291818619,0.6488422155
-42,1.2413791418,1.1501464844,0.9133606553,1.3157860041,1.240401268,0.7778072357
-40,1.3483510017,1.179120779,1.093949914,1.2653826475,1.1299433708,0.7481390238
-38,1.2784004211,1.1991454363,1.0676419735,1.2943550348,1.2647583485,0.7601546645
-36,1.2949582338,1.1628921032,1.1072462797,1.5149902105,1.2335079908,0.8926130533
-34,1.4267150164,1.4220517874,1.1367434263,1.2481791973,1.6963344812,1.0134644508
-32,1.4133310318,1.1232256889,1.1627912521,1.2758988142,1.605239749,0.8813925982
-30,1.5359679461,1.0976257324,1.2440596819,1.2428120375,1.707545042,0.9142959118
-28,1.7219511271,1.3130582571,1.4943842888,1.2669707537,1.6218876839,0.9686334729
-26,1.9842284918,1.1952525377,1.7465577126,1.2733371258,1.5286749601,0.985267818
-24,1.7982656956,1.179880023,1.7049536705,1.2736159563,1.5497477055,1.044692874
-22,1.8097747564,1.1811974049,1.8048540354,1.1507506371,1.603063941,1.1033952236
-20,1.9770311117,1.376157403,1.9398542643,1.1978137493,1.946947217,1.1095647812
-18,2.2307891846,1.1535574198,2.024708271,1.2324281931,1.5269014835,1.09714818
-16,2.1074178219,1.3190257549,1.9455523491,1.1029164791,1.7085871696,1.0801736116
-14,2.5408284664,1.3818912506,2.3089420795,1.2245500088,1.788548708,1.3450642824
-12,2.0554106236,1.0701568127,2.0054154396,1.1872432232,1.4371533394,0.9831702113
-10,2.2756888866,1.2593873739,1.9967082739,1.1779686213,1.4897875786,0.9970821142
-8,2.1326742172,1.0668275356,2.0597167015,1.0387226343,1.1459044218,1.132909894
-6,2.3225872517,1.1310719252,2.1823656559,1.0549550056,1.3618267775,1.0528233051
-4,2.4287624359,1.2709236145,2.4021813869,1.1651813984,0.964614749,1.3206093311
-2,2.8931763172,1.5109512806,3.1782746315,1.0624682903,1.5458641052,1.1911025047
1.27222193825778E-013,3.5841648579,1.8039357662,4.2184753418,1.7810535431,1.965411067,1.8123342991
2,2.4975316525,1.3374961615,2.3216724396,1.1396207809,1.3709840775,1.4944490194
4,2.0538542271,1.3551963568,2.1039443016,1.2043169737,1.1437273026,1.4186609983
