Plant,length,das,cr_number,lr_number,growth_media
1,0.828,3,0,0,plate
2,1.281,3,0,0,plate
3,1.069,3,0,0,plate
4,0.786,3,0,0,plate
5,0.487,3,0,0,plate
6,0.333,3,0,0,plate
7,0.287,3,0,0,plate
8,0.685,3,0,0,plate
9,1.124,3,0,0,plate
10,1.428,3,0,0,plate
11,0.7,3,0,0,plate
1,3.052,6,0,0,plate
2,3.092,6,0,0,plate
3,3.433,6,0,0,plate
4,3.39,6,0,0,plate
5,3.051,6,0,0,plate
6,2.528,6,0,0,plate
7,2.832,6,0,0,plate
8,3.606,6,0,0,plate
9,2.265,6,0,0,plate
10,3.707,6,0,0,plate
11,2.025,6,0,0,plate
1,7.268,10,0,0,plate
2,5.706,10,0,0,plate
3,6.966,10,0,0,plate
4,7.044,10,0,0,plate
5,6.789,10,0,0,plate
6,6.16,10,0,0,plate
7,6.667,10,0,0,plate
8,7.267,10,0,0,plate
9,7.134,10,0,0,plate
10,6.832,10,0,0,plate
11,4.936,10,0,0,plate
1,9.165,13,0,0,plate
2,7.208,13,0,0,plate
3,8.9,13,0,0,plate
4,5.966,13,0,0,plate
5,5.584,13,0,0,plate
6,7.119,13,0,0,plate
7,9.193,13,0,0,plate
8,8.498,13,0,0,plate
9,8.37,13,0,0,plate
10,8.768,13,0,0,plate
11,8.535,13,0,0,plate
1,9.305,15,0,0,plate
2,9.025,15,1,0,plate
3,7.759,15,2,0,plate
4,8.815,15,0,0,plate
5,8.885,15,0,0,plate
6,9.003,15,0,0,plate
7,9.857,15,2,0,plate
8,8.452,15,0,0,plate
9,9.987,15,2,0,plate
10,9.342,15,1,0,plate
11,9.123,15,2,0,plate
21,19.433,15,0,65,rhizotron
22,18.447,15,0,49,rhizotron
23,19.965,15,0,58,rhizotron
24,20.169,15,0,56,rhizotron
25,23.149,15,0,63,rhizotron
26,16.19,15,0,42,rhizotron
27,19.493,15,0,51,rhizotron
28,16.512,15,0,46,rhizotron
21,30.293,20,,65,rhizotron
22,27.636,20,0,49,rhizotron
23,30.449,20,0,58,rhizotron
24,30.517,20,0,56,rhizotron
25,30.652,20,0,63,rhizotron
26,26.859,20,0,42,rhizotron
27,30.004,20,0,51,rhizotron
28,26.99,20,0,46,rhizotron
