"","experiment","das","phosphorus","plant","aq","x","y","angle","count"
"1","53","22","high","1","1.tif",0,0,90,0.4848177135
"2","53","22","high","1","1.tif",0,0,88,0.3530322611
"3","53","22","high","1","1.tif",0,0,86,0.3979480863
"4","53","22","high","1","1.tif",0,0,84,0.4411303103
"5","53","22","high","1","1.tif",0,0,82,0.3978040516
"6","53","22","high","1","1.tif",0,0,80,0.4851623178
"7","53","22","high","1","1.tif",0,0,78,0.4948776364
"8","53","22","high","1","1.tif",0,0,76,0.5330209732
"9","53","22","high","1","1.tif",0,0,74,0.5490151644
"10","53","22","high","1","1.tif",0,0,72,0.6118423939
"11","53","22","high","1","1.tif",0,0,70,0.5977331996
"12","53","22","high","1","1.tif",0,0,68,0.6150563359
"13","53","22","high","1","1.tif",0,0,66,0.5513871908
"14","53","22","high","1","1.tif",0,0,64,0.6016423106
"15","53","22","high","1","1.tif",0,0,62,0.6836719513
"16","53","22","high","1","1.tif",0,0,60,0.8321623802
"17","53","22","high","1","1.tif",0,0,58,1.0383410454
"18","53","22","high","1","1.tif",0,0,56,1.2099198103
"19","53","22","high","1","1.tif",0,0,54,1.2711526155
"20","53","22","high","1","1.tif",0,0,52,1.4122568369
"21","53","22","high","1","1.tif",0,0,50,1.6246993542
"22","53","22","high","1","1.tif",0,0,48,1.8834753036
"23","53","22","high","1","1.tif",0,0,46,1.9000825882
"24","53","22","high","1","1.tif",0,0,44,1.9581643343
"25","53","22","high","1","1.tif",0,0,42,1.8754068613
"26","53","22","high","1","1.tif",0,0,40,1.8398905993
"27","53","22","high","1","1.tif",0,0,38,1.7801537514
"28","53","22","high","1","1.tif",0,0,36,1.698243022
"29","53","22","high","1","1.tif",0,0,34,2.2403333187
"30","53","22","high","1","1.tif",0,0,32,1.9616088867
"31","53","22","high","1","1.tif",0,0,30,1.8086700439
"32","53","22","high","1","1.tif",0,0,28,1.7227859497
"33","53","22","high","1","1.tif",0,0,26,1.7964259386
"34","53","22","high","1","1.tif",0,0,24,1.4835749865
"35","53","22","high","1","1.tif",0,0,22,1.1792453527
"36","53","22","high","1","1.tif",0,0,20,1.2115539312
"37","53","22","high","1","1.tif",0,0,18,1.2639969587
"38","53","22","high","1","1.tif",0,0,16,1.3627051115
"39","53","22","high","1","1.tif",0,0,14,1.3317842484
"40","53","22","high","1","1.tif",0,0,12,1.5876002312
"41","53","22","high","1","1.tif",0,0,10,1.1820049286
"42","53","22","high","1","1.tif",0,0,8,1.1162116528
"43","53","22","high","1","1.tif",0,0,6,1.2546362877
"44","53","22","high","1","1.tif",0,0,4,0.9380092025
"45","53","22","high","1","1.tif",0,0,2,1.006324172
"46","53","22","high","1","1.tif",0,0,1.27222193825778e-13,1.212200284
"47","53","22","high","1","1.tif",0,0,2,1.1447525024
"48","53","22","high","1","1.tif",0,0,4,1.2879470587
"49","53","22","high","1","1.tif",0,0,6,1.1417598724
"50","53","22","high","1","1.tif",0,0,8,1.3709586859
"51","53","22","high","1","1.tif",0,0,10,1.3799059391
"52","53","22","high","1","1.tif",0,0,12,1.312015295
"53","53","22","high","1","1.tif",0,0,14,1.2269057035
"54","53","22","high","1","1.tif",0,0,16,1.2482360601
"55","53","22","high","1","1.tif",0,0,18,1.4347081184
"56","53","22","high","1","1.tif",0,0,20,1.4383759499
"57","53","22","high","1","1.tif",0,0,22,1.406961441
"58","53","22","high","1","1.tif",0,0,24,1.3257882595
"59","53","22","high","1","1.tif",0,0,26,1.3298619986
"60","53","22","high","1","1.tif",0,0,28,1.1961593628
"61","53","22","high","1","1.tif",0,0,30,1.2280012369
"62","53","22","high","1","1.tif",0,0,32,1.1727595329
"63","53","22","high","1","1.tif",0,0,34,1.4767700434
"64","53","22","high","1","1.tif",0,0,36,1.5359321833
"65","53","22","high","1","1.tif",0,0,38,1.4611865282
"66","53","22","high","1","1.tif",0,0,40,1.6865350008
"67","53","22","high","1","1.tif",0,0,42,1.3935521841
"68","53","22","high","1","1.tif",0,0,44,1.3921554089
"69","53","22","high","1","1.tif",0,0,46,1.147359848
"70","53","22","high","1","1.tif",0,0,48,0.963937223
"71","53","22","high","1","1.tif",0,0,50,1.3278045654
"72","53","22","high","1","1.tif",0,0,52,1.5540207624
"73","53","22","high","1","1.tif",0,0,54,1.8560920954
"74","53","22","high","1","1.tif",0,0,56,1.2265053988
"75","53","22","high","1","1.tif",0,0,58,0.9510325789
"76","53","22","high","1","1.tif",0,0,60,0.8845274448
"77","53","22","high","1","1.tif",0,0,62,0.8446325064
"78","53","22","high","1","1.tif",0,0,64,0.6269308925
"79","53","22","high","1","1.tif",0,0,66,0.5528686643
"80","53","22","high","1","1.tif",0,0,68,0.5247447491
"81","53","22","high","1","1.tif",0,0,70,0.591067791
"82","53","22","high","1","1.tif",0,0,72,0.4893049598
"83","53","22","high","1","1.tif",0,0,74,0.4044678509
"84","53","22","high","1","1.tif",0,0,76,0.4205221832
"85","53","22","high","1","1.tif",0,0,78,0.4779760838
"86","53","22","high","1","1.tif",0,0,80,0.4180170298
"87","53","22","high","1","1.tif",0,0,82,0.3366575837
"88","53","22","high","1","1.tif",0,0,84,0.3262934685
"89","53","22","high","1","1.tif",0,0,86,0.3693723977
"90","53","22","high","1","1.tif",0,0,88,0.3328739703
"91","53","22","high","2","2.tif",0,0,90,0.4556939006
"92","53","22","high","2","2.tif",0,0,88,0.2101558596
"93","53","22","high","2","2.tif",0,0,86,0.2641469538
"94","53","22","high","2","2.tif",0,0,84,0.2507086396
