"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"1","32","20","col","dark","14","1.tif",0,0,90,0.540043771266937
"2","32","20","col","dark","14","1.tif",0,0,88,0.533175408840179
"3","32","20","col","dark","14","1.tif",0,0,86,0.442199617624283
"4","32","20","col","dark","14","1.tif",0,0,84,0.475219458341599
"5","32","20","col","dark","14","1.tif",0,0,82,0.606482923030853
"6","32","20","col","dark","14","1.tif",0,0,80,0.448383510112762
"7","32","20","col","dark","14","1.tif",0,0,78,0.505301594734192
"8","32","20","col","dark","14","1.tif",0,0,76,0.768485188484192
"9","32","20","col","dark","14","1.tif",0,0,74,1.11534535884857
"10","32","20","col","dark","14","1.tif",0,0,72,1.02770757675171
"11","32","20","col","dark","14","1.tif",0,0,70,1.07731342315674
"12","32","20","col","dark","14","1.tif",0,0,68,1.04740536212921
"13","32","20","col","dark","14","1.tif",0,0,66,0.9998659491539
"14","32","20","col","dark","14","1.tif",0,0,64,0.967425167560577
"15","32","20","col","dark","14","1.tif",0,0,62,0.991403162479401
"16","32","20","col","dark","14","1.tif",0,0,60,1.2204395532608
"17","32","20","col","dark","14","1.tif",0,0,58,1.16565704345703
"18","32","20","col","dark","14","1.tif",0,0,56,1.36690771579742
"19","32","20","col","dark","14","1.tif",0,0,54,1.18938052654266
"20","32","20","col","dark","14","1.tif",0,0,52,0.999417006969452
"21","32","20","col","dark","14","1.tif",0,0,50,1.29843640327454
"22","32","20","col","dark","14","1.tif",0,0,48,1.38504195213318
"23","32","20","col","dark","14","1.tif",0,0,46,2.02487206459045
"24","32","20","col","dark","14","1.tif",0,0,44,1.34901440143585
"25","32","20","col","dark","14","1.tif",0,0,42,1.12111508846283
"26","32","20","col","dark","14","1.tif",0,0,40,1.17434179782867
"27","32","20","col","dark","14","1.tif",0,0,38,1.06494402885437
"28","32","20","col","dark","14","1.tif",0,0,36,1.21233224868774
"29","32","20","col","dark","14","1.tif",0,0,34,1.17333698272705
"30","32","20","col","dark","14","1.tif",0,0,32,0.906393945217133
"31","32","20","col","dark","14","1.tif",0,0,30,0.825524568557739
"32","32","20","col","dark","14","1.tif",0,0,28,0.877056181430817
"33","32","20","col","dark","14","1.tif",0,0,26,0.843136548995972
"34","32","20","col","dark","14","1.tif",0,0,24,0.719997465610504
"35","32","20","col","dark","14","1.tif",0,0,22,0.588312804698944
"36","32","20","col","dark","14","1.tif",0,0,20,0.594581305980682
"37","32","20","col","dark","14","1.tif",0,0,18,0.482860147953033
"38","32","20","col","dark","14","1.tif",0,0,16,0.581726968288422
"39","32","20","col","dark","14","1.tif",0,0,14,0.447506189346313
"40","32","20","col","dark","14","1.tif",0,0,12,0.431885600090027
"41","32","20","col","dark","14","1.tif",0,0,10,0.38148221373558
"42","32","20","col","dark","14","1.tif",0,0,8,0.53057873249054
"43","32","20","col","dark","14","1.tif",0,0,6,0.56385612487793
"44","32","20","col","dark","14","1.tif",0,0,4,0.530784070491791
"45","32","20","col","dark","14","1.tif",0,0,2,0.511559247970581
"46","32","20","col","dark","14","1.tif",0,0,1.27222193825778e-13,0.649989783763885
"47","32","20","col","dark","14","1.tif",0,0,2,0.684573292732239
"48","32","20","col","dark","14","1.tif",0,0,4,0.540556311607361
"49","32","20","col","dark","14","1.tif",0,0,6,0.665738105773926
"50","32","20","col","dark","14","1.tif",0,0,8,0.845129251480103
"51","32","20","col","dark","14","1.tif",0,0,10,1.08845639228821
"52","32","20","col","dark","14","1.tif",0,0,12,1.0794153213501
"53","32","20","col","dark","14","1.tif",0,0,14,1.31037604808807
"54","32","20","col","dark","14","1.tif",0,0,16,1.5102311372757
"55","32","20","col","dark","14","1.tif",0,0,18,1.38581562042236
"56","32","20","col","dark","14","1.tif",0,0,20,1.508061170578
"57","32","20","col","dark","14","1.tif",0,0,22,1.44694137573242
"58","32","20","col","dark","14","1.tif",0,0,24,1.38278341293335
"59","32","20","col","dark","14","1.tif",0,0,26,1.61799275875092
"60","32","20","col","dark","14","1.tif",0,0,28,2.04717755317688
"61","32","20","col","dark","14","1.tif",0,0,30,2.03349304199219
"62","32","20","col","dark","14","1.tif",0,0,32,2.45651412010193
"63","32","20","col","dark","14","1.tif",0,0,34,2.50637912750244
"64","32","20","col","dark","14","1.tif",0,0,36,2.29272818565369
"65","32","20","col","dark","14","1.tif",0,0,38,1.9190491437912
"66","32","20","col","dark","14","1.tif",0,0,40,1.92031133174896
"67","32","20","col","dark","14","1.tif",0,0,42,1.79210638999939
"68","32","20","col","dark","14","1.tif",0,0,44,2.63662075996399
"69","32","20","col","dark","14","1.tif",0,0,46,1.65113866329193
"70","32","20","col","dark","14","1.tif",0,0,48,1.93059718608856
"71","32","20","col","dark","14","1.tif",0,0,50,1.87067019939423
"72","32","20","col","dark","14","1.tif",0,0,52,2.1098792552948
"73","32","20","col","dark","14","1.tif",0,0,54,1.8498660326004
