Target,Tissue,growth_system,sampling_time,ABI1,ACHT5,AHK2,AOS,ARF19,AtD14 (Dwarf 14),ATERF-4,AtPAL2,CAB2,CCA1,CHS_p1,CIPK8,COP1,COR15a,CRF5,CRF6,CYP38,CYP710A1,CYP79F1,DBE,DFR,DIM,DWF4,ELIP,EMF1,EPS1,ERD10,ERD7,ETR2,FAF2 ,FEI1,FER,FIT1,FLA10,FLS1_p1,FLS2,GLK2,GST6,HY5,IAA2,IRT1,JIN1,LBD16,LHY,LPR1,MAX2,MIZ1,NHO1,NiR,NRT1,OST1,PAP1,PCK1,PDR2,PGI1,PHO2,PHOT2,PHR1,PHYA,PIF4,rbcS1A,RD29A,RRG,RUS1,SHR,SPA1,SRO5,SS1,STOP1,SUR1,TAA1,TCH1,UVR8,XTH17,XTH22,ZAT12
M_D_S_1,shoot,MS,day,2.386824974,1.706593849,1.354146974,1.736666254,3.995650249,2.463155209,5.915038724,-0.215235011,-2.869665101,1.421873304,1.256064874,3.459463044,3.220332029,2.652443824,2.034506014,4.770084779,-2.136214166,7.561545889,0.224667464,3.574818949,3.252889184,0.715818639,5.652666904,9.631027769,4.991624254,5.430126129,6.405490324,4.179170994,6.636229494,7.452524094,-0.500069621,2.008181334,5.306189364,3.569758899,0.165963119,7.510878679,-0.308238291,-1.449188881,0.634831444,1.759814384,7.521966649,1.597248324,9.255605369,-3.340176286,4.684895359,4.206812314,6.071340744,3.795713624,-1.115091071,0.509974344,4.342667109,6.285288349,0.614706494,3.031007899,-1.562932851,3.385168209,-0.762659251,4.969687874,1.586327019,3.416550164,-5.713655181,3.931057709,3.170923449,4.376884869,3.606902839,0.959546559,6.712780929,2.061888764,2.954023964,2.204995744,3.655926114,2.286996959,1.648819669,2.929828769,2.173030389,7.377727284
M_D_S_2,shoot,MS,day,2.560292963,1.192556118,2.211376318,1.844094583,4.697206238,2.044356248,4.378895948,-0.286893982,-3.42849353,1.369097523,1.004408813,2.767587793,5.035590533,2.239591013,2.886260123,4.405324323,-1.930150532,7.763514203,1.640842218,2.904774673,2.754353738,0.487728168,5.595662793,6.545303978,3.768288993,5.494629028,5.613796818,3.989860943,6.675229418,8.148686763,-0.449527817,1.445855928,6.396760563,4.073534388,0.792717743,6.672410418,-0.418686577,-1.178384197,1.367766018,2.298433503,10.63697075,2.319080763,12.37060947,-2.85334193,4.926557013,4.411703533,6.786551583,3.989407983,-1.323458662,1.052700158,3.698085168,7.132167218,1.022268848,3.042198583,-0.802578812,3.180674318,-0.162955747,5.074689528,1.567768953,4.407869688,-5.468913165,3.810175303,3.244049063,3.647700413,3.636318763,1.493335298,8.641992973,2.094558898,2.812683843,2.310768073,4.350648118,2.096196473,1.441431508,2.816439463,2.696569578,6.155092638
M_D_S_3,shoot,MS,day,2.798666075,1.598938395,1.764961295,1.92094581,4.54091642,2.353691535,4.589044555,-0.445446445,-3.445141685,1.44038844,1.151208445,3.045304845,3.953538805,3.19306278,2.370562845,3.667458765,-2.18311858,8.845926405,1.869033005,3.20068948,3.259330385,0.51827817,5.443998425,8.52641181,4.375355905,5.838141135,5.89585936,4.466617975,6.319653735,8.09911851,-0.584724715,1.91876955,5.534349525,3.18612288,0.832673075,7.666545345,-0.440205925,-1.704047435,1.47888062,2.302316355,8.91579786,1.85232537,10.64943658,-3.28455691,5.901490475,4.259446055,7.44234038,4.45583077,-0.965402635,1.175243855,4.24739412,6.98113687,0.96485551,2.733120435,-1.269464615,3.468947995,-0.498427275,5.549662455,1.60087447,2.82645054,-5.559268407,4.653868205,3.238572445,3.65082121,3.456004485,1.394836605,6.90873031,2.112455545,3.110197895,2.507622085,3.544611575,2.481703015,1.40580602,3.41115836,2.319053655,5.01378893
M_N_S_1,shoot,MS,night,0.720755883,2.878196513,1.821098328,0.110661768,5.055032663,1.868718428,4.368860768,1.103692653,0.018981403,5.532163958,1.446111728,2.380262798,3.718675178,-2.699653422,3.782554868,5.606053903,-2.543689632,8.189176073,-0.643293387,1.688752643,1.760083593,0.417232948,4.549687108,5.551215698,4.578003918,5.979101108,3.565638598,0.922039678,6.727733503,8.214075318,-0.457023587,1.389567583,4.486394103,2.174717243,0.359180448,5.883152673,0.410579138,-2.037143857,1.094863218,3.304328203,8.454807268,0.174136808,10.18844599,4.406636403,4.958592893,5.129211658,6.213879578,4.145869198,-1.422591147,0.722965853,3.288419203,5.527178708,1.035749538,2.833556378,-2.112961407,2.588635873,-1.360127477,4.824278333,2.278296053,1.168284508,-5.965621654,0.027685483,2.100752153,3.352312858,4.108581193,0.882526278,7.261972993,0.315584808,2.566865543,1.614409868,2.842783973,0.595132473,-0.110983167,5.500786018,3.346713718,6.847799093
M_N_S_2,shoot,MS,night,0.817785566,3.154693536,2.264073936,0.171252896,4.782653966,2.214584811,4.108978316,1.031511036,0.743758416,6.419822041,1.176685961,3.255261516,3.648328811,-2.674338174,3.641377076,5.500998791,-2.184765899,8.765126736,-0.093420859,2.082223711,1.434482356,0.627182031,5.347222456,8.183882401,4.548177406,5.489109066,4.240512901,1.293040336,6.051085581,8.001288991,-0.393693799,1.869124756,5.581078691,2.416303041,0.673340336,6.312663101,0.965876011,-2.093116429,0.917945706,3.733954561,8.214274726,0.313524501,9.947913446,3.593312621,4.331728261,4.563283306,7.416452886,4.066147271,-1.018176569,1.090052156,3.379137151,5.396740616,1.214498916,3.078078526,-2.115522169,2.695405231,-1.007056919,6.190813356,2.389022536,1.453524176,-5.490162062,0.667257896,2.308510116,4.180963291,4.578003856,1.657741836,7.378247491,0.669297431,3.150973041,1.684047936,3.399625411,0.607200766,0.519801041,7.271652381,3.516169791,6.121785811
M_N_S_3,shoot,MS,night,0.795842966,2.993145456,2.389100626,-0.194564364,5.156737896,2.007218631,4.540975911,1.006875476,-0.180961859,6.105492256,1.100380476,2.747756101,4.080602021,-2.664487469,3.263311961,4.918297896,-2.326780519,9.398596561,-0.399404734,1.508257661,1.660649941,0.512719576,3.810052716,5.626425561,4.095064306,5.549238676,4.511941251,1.133461041,6.850790826,7.405734896,-0.474822649,1.035844446,4.777667711,2.463336226,0.388829561,7.509444206,0.968087771,-2.221556294,1.059261601,3.610208796,9.285826656,0.218934156,11.01946538,4.163049286,4.236948896,3.977006361,7.717731556,3.635288131,-0.581835324,0.929324496,3.642373401,4.648433451,1.120748291,2.652713596,-1.963022749,3.920975356,-1.026944689,4.798577401,2.575491611,1.436719956,-5.780410689,0.781828461,2.556943566,3.316002291,4.352428006,1.539499091,8.273050051,0.376980586,2.957310571,1.208000726,3.117929276,0.295267626,0.146106756,5.317589521,3.854158061,6.494316176
M.25_N_S_1,shoot,MS25,night,1.048816375,1.82670297,1.966563725,-0.39032652,7.303231375,2.205184665,3.246085955,1.09268831,-1.849713525,4.940491825,2.254626975,3.90803724,3.337531405,-1.554525405,3.43132265,5.479567425,-2.626416635,7.0650438,-0.404845115,2.48827078,2.512101965,0.42966829,3.83004694,7.55067454,4.59109032,6.99379013,4.564212935,1.062546915,6.193250725,8.20485064,-0.47620616,1.38883739,4.497582015,1.94729828,0.620505635,7.040987965,1.018754315,-2.104021715,0.838819165,2.829267125,6.51419179,-0.08607028,8.24783051,5.79892982,4.14000402,5.134398585,5.758736495,4.122231905,-0.841089475,0.104310595,3.812372305,5.130573235,1.34116593,2.352461895,-2.459560555,4.599603085,-1.08072856,5.907546855,2.294786735,0.0943475,-5.798129455,0.51328912,1.387875135,4.212424375,4.24337923,1.10044154,3.88620898,0.165362185,2.83736743,1.778699305,2.01067727,0.666358195,0.153627985,4.184848455,0.615376315,3.866655445
M.25_N_S_2,shoot,MS25,night,1.047474435,2.378040795,2.44314594,-0.51201526,5.078254125,1.940421785,3.83063175,1.456321175,-0.576067005,7.143049665,1.980027695,2.86549493,4.95894076,-1.625242805,3.757557425,5.39676573,-2.29816127,9.76188546,-0.766713395,1.766085705,1.965782595,0.719228915,5.01561274,5.582403935,4.206299455,4.95237412,3.735677515,0.613846265,5.683614745,7.912471755,-0.113710645,1.19265117,5.71922213,2.688941945,1.08046332,5.29280021,1.207234685,-1.822497815,1.277629495,3.329352385,9.72629825,0.430405105,11.45993697,4.49714741,4.776798285,4.56820161,8.34064234,3.96348299,-0.70477402,0.13371808,3.74856773,5.10941576,1.13645664,2.941560625,-1.44888097,3.12903577,-0.94515018,4.38018387,2.36011223,0.91478304,-5.851537815,0.204965065,2.24834737,3.70196248,4.139185035,1.501446665,8.620058125,0.4531546,2.956191,1.455343385,3.074324485,0.488059265,0.145662565,4.977925735,2.914032365,5.65121753
M.25_N_S_3,shoot,MS25,night,0.933159055,2.41253593,2.362264385,-0.140503705,4.682618705,1.7854535,4.13638191,1.02958749,-1.414243805,7.18310195,1.846549975,3.18436861,4.2555701,-1.75491375,3.85877699,5.62248208,-2.339515755,9.042901885,-0.19770814,1.46377802,2.4315989,0.254516895,4.17709779,4.58099943,3.851286075,5.636338965,4.11691871,0.88626452,6.464237855,7.359404395,-0.717108415,0.652993825,5.43817538,2.166710435,0.967773555,6.53805707,0.82652567,-1.877798435,1.42071356,3.978944855,9.958651995,0.9075228,11.69229071,4.74042129,4.503510345,4.274167,7.12400785,4.215859575,-1.392622425,0.263349015,3.568877405,5.42226823,1.049179195,2.546079375,-2.01232778,2.957453225,-1.100802295,5.32721549,2.03570552,0.609442105,-5.884153192,-0.145073135,2.39105134,3.29283472,3.85363957,1.492997865,7.58182844,-0.00020794,2.796140385,1.349949345,2.48103423,0.535806315,0.051423535,4.315644245,3.584014385,5.952358855
P_D_S_1,shoot,pot,day,2.032458896,2.074920526,2.033731646,-1.380284029,4.569966526,2.056872001,3.938527141,-0.887632574,-2.487576434,1.429867626,-0.148552969,3.427537771,5.090265261,2.616190241,3.124479171,4.529422471,-1.911807284,8.142113116,-0.515617839,3.061221081,-0.165787504,0.267162336,5.257012051,4.947092671,4.752521816,5.890675491,5.410943616,3.268511571,6.105635416,8.526897206,-0.919008289,1.383255736,5.082677486,2.681453586,-0.628042054,6.625233406,-0.350199869,-2.135683359,0.872270551,2.032770506,8.972355601,-1.243899224,10.70599432,-3.148119469,4.884114121,4.259633901,6.568035961,5.062637961,-1.608631359,-0.352188264,3.892328466,3.101061541,0.459603596,3.172689481,-1.671773624,3.249382471,-0.938808824,5.580201691,1.748798776,5.800102776,-5.488029272,3.168199801,3.177295861,4.069774316,3.468766661,0.987114546,8.088668486,2.188830706,3.335116991,1.011778736,4.053899296,2.232065146,1.436173451,5.877972981,1.959717951,3.597880301
