"","experiment","plant","das","angle","count"
"1","9","10","11",90,0.402621150016785
"2","9","10","11",88,0.0689505487680435
"3","9","10","11",86,0.102648392319679
"4","9","10","11",84,0.145954772830009
"5","9","10","11",82,0.208141639828682
"6","9","10","11",80,0.408282697200775
"7","9","10","11",78,0.370054572820663
"8","9","10","11",76,0.371952921152115
"9","9","10","11",74,0.368537604808807
"10","9","10","11",72,0.304852426052094
"11","9","10","11",70,0.282804787158966
"12","9","10","11",68,0.562745988368988
"13","9","10","11",66,0.571743965148926
"14","9","10","11",64,0.601625502109528
"15","9","10","11",62,0.303902298212051
"16","9","10","11",60,0.501023590564728
"17","9","10","11",58,0.460901737213135
"18","9","10","11",56,0.530200302600861
"19","9","10","11",54,0.497800946235657
"20","9","10","11",52,0.366064995527267
"21","9","10","11",50,0.625395834445953
"22","9","10","11",48,0.758359670639038
"23","9","10","11",46,0.839707136154175
"24","9","10","11",44,0.743867158889771
"25","9","10","11",42,0.973881483078003
"26","9","10","11",40,1.00857138633728
"27","9","10","11",38,1.43096601963043
"28","9","10","11",36,1.59922158718109
"29","9","10","11",34,1.34180915355682
"30","9","10","11",32,1.04099202156067
"31","9","10","11",30,1.33904695510864
"32","9","10","11",28,1.33445024490356
"33","9","10","11",26,1.57469773292542
"34","9","10","11",24,2.52065253257751
"35","9","10","11",22,2.93960165977478
"36","9","10","11",20,2.3224151134491
"37","9","10","11",18,2.95432448387146
"38","9","10","11",16,2.29756426811218
"39","9","10","11",14,3.54517960548401
"40","9","10","11",12,2.84985399246216
"41","9","10","11",10,3.54149389266968
"42","9","10","11",8,2.01315498352051
"43","9","10","11",6,3.49037790298462
"44","9","10","11",4,2.48734927177429
"45","9","10","11",2,2.04443120956421
"46","9","10","11",1.27222193825778e-13,3.33026671409607
"47","9","10","11",2,2.17128038406372
"48","9","10","11",4,2.23811602592468
"49","9","10","11",6,1.77928519248962
"50","9","10","11",8,3.15125012397766
"51","9","10","11",10,2.60688471794128
"52","9","10","11",12,3.44747161865234
"53","9","10","11",14,1.9610550403595
"54","9","10","11",16,2.28298306465149
"55","9","10","11",18,1.75677669048309
"56","9","10","11",20,1.60043084621429
"57","9","10","11",22,1.3668098449707
"58","9","10","11",24,1.38139963150024
"59","9","10","11",26,1.1825544834137
"60","9","10","11",28,1.19296848773956
"61","9","10","11",30,1.2253634929657
"62","9","10","11",32,1.65058088302612
"63","9","10","11",34,1.14988458156586
"64","9","10","11",36,0.790885031223297
"65","9","10","11",38,0.962780833244324
"66","9","10","11",40,0.843357145786285
"67","9","10","11",42,0.588905930519104
"68","9","10","11",44,0.786855161190033
"69","9","10","11",46,0.233052775263786
"70","9","10","11",48,0.233324781060219
"71","9","10","11",50,0.20635062456131
"72","9","10","11",52,0.159261912107468
"73","9","10","11",54,0.273253560066223
"74","9","10","11",56,0.151220485568047
"75","9","10","11",58,0.482275575399399
"76","9","10","11",60,0.11554266512394
"77","9","10","11",62,0.381904572248459
"78","9","10","11",64,0.284847110509872
"79","9","10","11",66,0.250689536333084
"80","9","10","11",68,0.238189205527306
"81","9","10","11",70,0.237396061420441
"82","9","10","11",72,0.547975063323975
"83","9","10","11",74,0.144469767808914
"84","9","10","11",76,0.498723417520523
"85","9","10","11",78,0.188372284173965
"86","9","10","11",80,0.259407699108124
"87","9","10","11",82,0.197853922843933
"88","9","10","11",84,0.206445202231407
"89","9","10","11",86,0.108780838549137
"90","9","10","11",88,0.104341059923172
"91","9","10","12",90,0.50160676240921
"92","9","10","12",88,0.106643855571747
"93","9","10","12",86,0.173480853438377
"94","9","10","12",84,0.207063436508179
"95","9","10","12",82,0.185291394591331
"96","9","10","12",80,0.247007787227631
"97","9","10","12",78,0.413882315158844
"98","9","10","12",76,0.190340399742126
"99","9","10","12",74,0.530597984790802
"100","9","10","12",72,0.317304521799088
"101","9","10","12",70,0.379782170057297
"102","9","10","12",68,0.376707404851913
"103","9","10","12",66,0.379177212715149
"104","9","10","12",64,0.550648272037506
"105","9","10","12",62,0.211201548576355
"106","9","10","12",60,0.577171683311462
"107","9","10","12",58,0.538661122322083
"108","9","10","12",56,0.708932638168335
"109","9","10","12",54,0.843827128410339
"110","9","10","12",52,0.593003451824188
"111","9","10","12",50,0.705681025981903
"112","9","10","12",48,0.865158200263977
"113","9","10","12",46,1.01433253288269
"114","9","10","12",44,1.24148666858673
"115","9","10","12",42,1.29793405532837
"116","9","10","12",40,1.55064451694489
"117","9","10","12",38,1.2789763212204
"118","9","10","12",36,1.27179658412933
"119","9","10","12",34,1.36980903148651
"120","9","10","12",32,1.49737918376923
"121","9","10","12",30,1.85460317134857
"122","9","10","12",28,1.7150137424469
"123","9","10","12",26,1.90248799324036
"124","9","10","12",24,1.72901260852814
"125","9","10","12",22,2.78594064712524
"126","9","10","12",20,2.44165468215942
"127","9","10","12",18,3.17716836929321
"128","9","10","12",16,2.02486562728882
"129","9","10","12",14,2.45325207710266
"130","9","10","12",12,2.39486384391785
"131","9","10","12",10,2.62824320793152
"132","9","10","12",8,1.28644502162933
"133","9","10","12",6,2.3847553730011
"134","9","10","12",4,2.97417688369751
"135","9","10","12",2,3.04505610466003
"136","9","10","12",1.27222193825778e-13,4.43965148925781
"137","9","10","12",2,2.90075540542603
"138","9","10","12",4,2.67211747169495
"139","9","10","12",6,1.91653478145599
"140","9","10","12",8,2.70091986656189
"141","9","10","12",10,2.33795523643494
"142","9","10","12",12,1.2834860086441
"143","9","10","12",14,1.28216588497162
"144","9","10","12",16,1.26785862445831
"145","9","10","12",18,1.70615792274475
"146","9","10","12",20,1.43131303787231
"147","9","10","12",22,1.36458551883698
"148","9","10","12",24,1.3182784318924
"149","9","10","12",26,1.14483392238617
"150","9","10","12",28,1.15581679344177
"151","9","10","12",30,1.26708590984344
"152","9","10","12",32,1.09508919715881
"153","9","10","12",34,1.15576040744781
"154","9","10","12",36,0.672044515609741
"155","9","10","12",38,0.73955374956131
"156","9","10","12",40,0.951782524585724
"157","9","10","12",42,0.514323532581329
"158","9","10","12",44,0.779022872447968
"159","9","10","12",46,0.440838426351547
"160","9","10","12",48,0.722107768058777
"161","9","10","12",50,0.570300221443176
"162","9","10","12",52,0.459054380655289
"163","9","10","12",54,0.54236501455307
"164","9","10","12",56,0.465654999017715
"165","9","10","12",58,0.669146239757538
"166","9","10","12",60,0.294339567422867
"167","9","10","12",62,0.567749202251434
"168","9","10","12",64,0.429532766342163
"169","9","10","12",66,0.519374847412109
"170","9","10","12",68,0.306432723999023
"171","9","10","12",70,0.385714441537857
"172","9","10","12",72,0.578052878379822
"173","9","10","12",74,0.325771749019623
"174","9","10","12",76,0.202024221420288
"175","9","10","12",78,0.295113444328308
"176","9","10","12",80,0.334605604410172
"177","9","10","12",82,0.133635684847832
"178","9","10","12",84,0.22628253698349
"179","9","10","12",86,0.321538418531418
"180","9","10","12",88,0.190202459692955
"181","9","10","13",90,1.20251500606537
"182","9","10","13",88,0.792226314544678
"183","9","10","13",86,0.917485952377319
"184","9","10","13",84,0.872984349727631
"185","9","10","13",82,1.15461552143097
"186","9","10","13",80,0.886238396167755
"187","9","10","13",78,1.06918489933014
"188","9","10","13",76,0.703076183795929
"189","9","10","13",74,0.863113462924957
"190","9","10","13",72,0.634038269519806
"191","9","10","13",70,0.696399509906769
"192","9","10","13",68,0.587242007255554
"193","9","10","13",66,0.411095798015594
"194","9","10","13",64,0.573084533214569
"195","9","10","13",62,0.50741446018219
"196","9","10","13",60,0.448367208242416
"197","9","10","13",58,0.530279874801636
"198","9","10","13",56,0.73398095369339
"199","9","10","13",54,0.758627355098724
"200","9","10","13",52,0.965905010700226
"201","9","10","13",50,0.86893755197525
"202","9","10","13",48,0.886824667453766
"203","9","10","13",46,1.06002986431122
"204","9","10","13",44,1.41009664535522
"205","9","10","13",42,0.982821643352509
"206","9","10","13",40,1.20592784881592
"207","9","10","13",38,1.03020143508911
"208","9","10","13",36,0.906154155731201
"209","9","10","13",34,1.29945003986359
"210","9","10","13",32,1.26662051677704
"211","9","10","13",30,1.27833354473114
"212","9","10","13",28,1.49602246284485
"213","9","10","13",26,1.03280901908875
"214","9","10","13",24,1.13055574893951
"215","9","10","13",22,1.30352640151978
"216","9","10","13",20,1.44471418857574
"217","9","10","13",18,1.54311537742615
"218","9","10","13",16,1.65526235103607
"219","9","10","13",14,1.85656726360321
"220","9","10","13",12,1.51716339588165
"221","9","10","13",10,1.82502555847168
"222","9","10","13",8,1.52379763126373
"223","9","10","13",6,1.86327981948853
"224","9","10","13",4,1.59557795524597
"225","9","10","13",2,2.83109664916992
"226","9","10","13",1.27222193825778e-13,4.15640830993652
"227","9","10","13",2,2.41711401939392
"228","9","10","13",4,1.81886601448059
"229","9","10","13",6,1.83746433258057
"230","9","10","13",8,2.82423424720764
"231","9","10","13",10,2.03690266609192
"232","9","10","13",12,2.19236135482788
"233","9","10","13",14,1.66080212593079
"234","9","10","13",16,1.62469327449799
"235","9","10","13",18,1.18671488761902
"236","9","10","13",20,1.6234564781189
"237","9","10","13",22,1.25731122493744
"238","9","10","13",24,1.41918766498566
"239","9","10","13",26,0.801145315170288
"240","9","10","13",28,0.997408330440521
"241","9","10","13",30,0.728177309036255
"242","9","10","13",32,0.826833724975586
"243","9","10","13",34,0.850784003734589
"244","9","10","13",36,0.597655892372131
"245","9","10","13",38,0.464078903198242
"246","9","10","13",40,0.559754312038422
"247","9","10","13",42,0.411928087472916
"248","9","10","13",44,0.881305158138275
"249","9","10","13",46,0.506578147411346
"250","9","10","13",48,0.586366295814514
"251","9","10","13",50,0.635577142238617
"252","9","10","13",52,0.592073857784271
"253","9","10","13",54,0.817191004753113
"254","9","10","13",56,0.748849809169769
"255","9","10","13",58,1.02433669567108
"256","9","10","13",60,1.22687447071075
"257","9","10","13",62,0.803377568721771
"258","9","10","13",64,0.699731469154358
"259","9","10","13",66,0.952753961086273
"260","9","10","13",68,0.853922188282013
"261","9","10","13",70,0.645503759384155
"262","9","10","13",72,0.66605007648468
