,image,rep_id,intensity,intensity_ratio,diameter,rep_x,rep_y,growth,growth.x,growth.y,depth,width,6
1,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9e79d30f-c415-4511-8bb5-b48248cb11d9,6.2842107,1.9413735,21.095022,827,352,0,0,0,2.5396825397,5.9927536232,6
2,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e820d8e6-8737-42e9-a55d-fe592847174c,6.553398,2.2637036,18.248287,716,390,0,0,0,2.8138528139,5.1884057971,6
3,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,af6d32aa-72be-4099-b63e-d4b18363e196,12.666667,3.133901,16.643316,703,407,0,0,0,2.9365079365,5.0942028986,6
4,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,8a162c01-57f0-4dd0-b354-8bb8f7067bf4,5.4271846,1.7119856,29.410883,660,446,0,0,0,3.2178932179,4.7826086957,6
5,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9a4fcea5-4c30-47a7-90b4-736cb1df79a7,6.185629,1.966118,30.463093,1505,459,0,0,0,3.3116883117,10.9057971014,6
6,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,797873a4-41f3-444c-aeb1-40193f4134b7,7.393617,1.8431655,15.524175,701,516,0,0,0,3.7229437229,5.0797101449,6
7,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,6d3a6313-9550-4e6a-94d3-2bf5bda418a5,7.515464,2.4972565,26.925823,849,536,0,0,0,3.8672438672,6.152173913,6
8,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,34afcc93-fef2-4b39-8245-26905f9c61b0,5.8404255,1.9398907,25.553865,675,571,0,0,0,4.1197691198,4.8913043478,6
9,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,48b3fcd8-564e-4c8a-a2bd-bf2378f7f418,5.794643,1.9445301,28.42534,854,583,0,0,0,4.2063492063,6.1884057971,6
10,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f7a025ad-6349-49de-aba3-0208cef51d72,6.2848487,2.1321118,31.827662,1126,589,0,0,0,4.2496392496,8.1594202899,6
11,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,5295d18b-0386-440b-b844-163e96108384,7.846847,2.4795256,39.051247,668,605,0,0,0,4.3650793651,4.8405797101,6
12,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,add59e69-01b6-4476-984f-5ce0b746d8cd,6.3239436,2.1625834,45.54119,1399,616,0,0,0,4.4444444444,10.1376811594,6
13,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1fad13c4-10c0-4626-93b7-c0ad5a92b3a7,8.23913,2.0448549,22.203604,1097,609,0,0,0,4.3939393939,7.9492753623,6
14,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,70fc0e3b-3945-4db0-9c9d-51cf42eba99e,6.419162,2.2882462,30.463093,437,612,0,0,0,4.4155844156,3.1666666667,6
15,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,27859bfb-fabe-4e6c-b7b4-a4a6e550277e,9.523364,2.6506379,19.235384,487,621,0,0,0,4.4805194805,3.5289855072,6
16,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,50e16d59-143f-45c9-923e-f0defbdf1fd1,6.6682463,2.0668087,50,669,637,0,0,0,4.595959596,4.847826087,6
17,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,257ee218-9600-40fb-a0f1-130ecd082253,6.904943,2.0633261,57.72348,1327,672,0,0,0,4.8484848485,9.615942029,6
18,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7a6d3a6b-3aab-4503-bf90-20fee9671f8d,6.5277777,2.1375887,28.178005,717,657,0,0,0,4.7402597403,5.1956521739,6
19,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,ff70ca6f-8947-4163-9570-5efafecfb9ba,6.027397,1.9215909,34.828148,565,662,0,0,0,4.7763347763,4.0942028986,6
20,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f4748778-54a1-4a72-a07b-dfa3f4d571a5,6.244565,2.1557877,42.426407,1381,674,0,0,0,4.8629148629,10.0072463768,6
21,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,13d7d707-925a-4bda-87d6-2b3a69b76ed7,7.691589,2.2855406,18.248287,392,715,0,0,0,5.1587301587,2.8405797101,6
22,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,5d4fc7ef-2ce0-40e4-833a-a752a1ab8ffe,7.0252523,2.3817399,29.732138,1522,745,0,0,0,5.3751803752,11.0289855072,6
23,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,44e350d9-e591-41c3-8a77-7611027519ae,7.508197,2.1048036,25.455845,528,752,0,0,0,5.4256854257,3.8260869565,6
24,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,3f7b5595-83ee-4c1d-be66-8a448cf9c68c,6.3129253,2.1734912,25.96151,1380,759,0,0,0,5.4761904762,10,6
25,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,75318833-986a-4f3f-8ae9-30d58b5e8aad,6.39,2.2472613,25.96151,699,767,0,0,0,5.5339105339,5.0652173913,6
26,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,3fec6490-cb1a-4274-8226-1cb8b4662615,13.87619,2.6231985,31.780497,1093,763,0,0,0,5.5050505051,7.9202898551,6
27,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,aacf77e2-14e9-4425-92e3-7e4310f911e9,8.895833,2.557377,27.313,1277,776,0,0,0,5.5988455988,9.2536231884,6
28,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1db6f280-2019-44da-8dbd-351fde442f9d,8.933885,2.2210915,20.22375,381,805,0,0,0,5.8080808081,2.7608695652,6
