image,segment_id,length,direction,start_x,start_y,end_x,end_y,apex_id,intensity,intensity_ratio,diameter,rep_x,rep_y
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b6842662-45f4-4950-9e07-6c9805aa283b,31.257,7.3523701092,996,4,992,35,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,0a4bb75c-d86b-47b2-a0b7-6204dbc1fe54,91.197586,3.7722868411,1022,31,1028,122,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b60371ca-28f3-4605-a009-b0fa1db0f1db,24.351591,70.8210027531,978,66,1001,74,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,43048f18-e9f3-441b-a405-705339369adf,73.00685,53.914917153,1022,67,963,110,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e664914c-c745-49d5-a1c8-83a59b399ba2,18.384777,67.6198693075,960,103,943,110,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d3111f46-6d64-4561-ba88-be551ec14fd4,20.59126,60.9453961567,1027,123,1045,133,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f3344153-84ac-4348-a008-fce7285f7515,76.1643,3.7640359726,1026,125,1031,201,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,ddc8b76e-7983-4df9-8276-4c722dd6cc33,132.96616,43.7811294059,1025,146,933,242,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c3068f54-d02f-4b86-9c61-ef10d9715550,27.784887,59.7435683642,969,166,945,180,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,805f8aa8-9a32-49da-a2a3-7ed48915d786,29.410883,54.6887912463,1090,183,1066,200,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,83cd9f30-e06f-4b85-b4ab-bc471c32ed59,49.819675,38.4801936368,1031,201,1062,240,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,594d255c-d3d0-4c7d-96ea-68f1c471c20e,16.124516,60.2551222123,1184,203,1170,211,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,98b40913-ceaf-4347-9050-5170ac8935b1,19.697716,23.9624899522,1134,209,1142,227,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e958530c-3213-41fe-8934-b64ce863bebc,78.10249,13.3245235949,1041,212,1023,288,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,57b85d5f-5587-401f-94fb-c4653a802879,21.931713,46.8476125022,987,226,1003,241,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9b22c4c6-06c1-458d-b535-6be2a0303582,39.357338,27.2161188652,1120,238,1138,273,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a66dc623-06e1-490e-95e7-23db64677c6b,105.1903,24.1284089075,1062,240,1105,336,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b68d0fb7-6cc7-49db-b51d-a6e7438b00d1,23.600847,53.6156455843,930,246,911,260,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b4cf5995-e42a-4a8c-9f4c-0f327ab08c98,40.459858,39.9868787262,972,261,998,292,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b7527e25-669f-4be1-baf6-a2cb9811785c,18.248287,9.4623248268,886,262,883,280,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,676334a7-9686-4a03-bf86-69ca0773f216,29.832869,50.4403316203,907,266,884,285,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,be1b03c1-607f-462a-91d9-98368b39a913,40.853397,21.5409693254,927,275,942,313,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7ea1c4ab-80ee-4055-8759-8636dae17be6,34,61.9275076909,1022,277,992,293,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,93abddc7-4f95-4dbb-a014-6cc7391a32ae,51.662365,14.574229647,884,286,871,336,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,6e7a870e-ac1f-4118-bc30-4e55207016fe,19.416489,11.8886539068,887,286,883,305,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,8765bdbd-12e8-48ba-b9c7-57f413dda5bd,73.3553,27.6130334518,1051,289,1017,354,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,383c2e28-78b7-4449-9acd-318d317dbef1,27.45906,33.1113357336,991,293,976,316,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,aaf551be-62a7-4b04-9f03-746f2aa6d22f,52.69725,33.3885048101,1051,311,1022,355,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,74a3ba69-e61b-4559-9249-4c715ee1f5e6,31.95309,20.1362999414,1132,320,1143,350,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,31bda8fb-9f80-4246-b54b-9a08ae862eb7,61.220913,51.6325138191,810,333,762,371,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,bc8dfece-4ffc-407e-b7cb-6fb29cecf2df,31.827662,43.7269537119,1256,335,1278,358,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a736324b-045b-4c46-af16-a8dd9caa7160,15,53.1301010966,1115,336,1103,345,-1,-1,-1,-1,-1,-1
