image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,9e79d30f-c415-4511-8bb5-b48248cb11d9,6.2842107,1.9413735,21.095022,827,352
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,e820d8e6-8737-42e9-a55d-fe592847174c,6.553398,2.2637036,18.248287,716,390
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,af6d32aa-72be-4099-b63e-d4b18363e196,12.666667,3.133901,16.643316,703,407
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,8a162c01-57f0-4dd0-b354-8bb8f7067bf4,5.4271846,1.7119856,29.410883,660,446
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,9a4fcea5-4c30-47a7-90b4-736cb1df79a7,6.185629,1.966118,30.463093,1505,459
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,797873a4-41f3-444c-aeb1-40193f4134b7,7.393617,1.8431655,15.524175,701,516
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,6d3a6313-9550-4e6a-94d3-2bf5bda418a5,7.515464,2.4972565,26.925823,849,536
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,34afcc93-fef2-4b39-8245-26905f9c61b0,5.8404255,1.9398907,25.553865,675,571
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,48b3fcd8-564e-4c8a-a2bd-bf2378f7f418,5.794643,1.9445301,28.42534,854,583
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,f7a025ad-6349-49de-aba3-0208cef51d72,6.2848487,2.1321118,31.827662,1126,589
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,5295d18b-0386-440b-b844-163e96108384,7.846847,2.4795256,39.051247,668,605
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,add59e69-01b6-4476-984f-5ce0b746d8cd,6.3239436,2.1625834,45.54119,1399,616
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,1fad13c4-10c0-4626-93b7-c0ad5a92b3a7,8.23913,2.0448549,22.203604,1097,609
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,70fc0e3b-3945-4db0-9c9d-51cf42eba99e,6.419162,2.2882462,30.463093,437,612
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,27859bfb-fabe-4e6c-b7b4-a4a6e550277e,9.523364,2.6506379,19.235384,487,621
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,50e16d59-143f-45c9-923e-f0defbdf1fd1,6.6682463,2.0668087,50,669,637
