"","accession","angle","count"
"1","bay",90,0.553668618202209
"2","bay",88,0.505006909370422
"3","bay",86,0.514407753944397
"4","bay",84,0.529992401599884
"5","bay",82,0.531407535076141
"6","bay",80,0.507285714149475
"7","bay",78,0.509530305862427
"8","bay",76,0.672780632972717
"9","bay",74,0.743812680244446
"10","bay",72,0.756921172142029
"11","bay",70,0.968621075153351
"12","bay",68,0.997822046279907
"13","bay",66,1.19904065132141
"14","bay",64,1.34985041618347
"15","bay",62,1.367830991745
"16","bay",60,1.30941903591156
"17","bay",58,1.36598002910614
"18","bay",56,1.35184288024902
"19","bay",54,1.48408114910126
"20","bay",52,1.36952543258667
"21","bay",50,1.37735092639923
"22","bay",48,1.41600406169891
"23","bay",46,1.73972916603088
"24","bay",44,1.19669449329376
"25","bay",42,1.31052660942078
"26","bay",40,1.39472448825836
"27","bay",38,1.42645716667175
"28","bay",36,1.61290693283081
"29","bay",34,1.57182717323303
"30","bay",32,1.4744827747345
"31","bay",30,1.31636071205139
"32","bay",28,1.21327924728394
"33","bay",26,1.24216258525848
"34","bay",24,1.35602688789368
"35","bay",22,1.22300207614899
"36","bay",20,1.18387711048126
"37","bay",18,1.29354190826416
"38","bay",16,1.4184513092041
"39","bay",14,1.41981279850006
"40","bay",12,1.26793313026428
"41","bay",10,1.23089468479156
"42","bay",8,1.11459875106812
"43","bay",6,1.17265474796295
"44","bay",4,1.27605080604553
"45","bay",2,1.43851184844971
"46","bay",1.27222193825778e-13,1.51037490367889
"47","bay",2,1.20305919647217
"48","bay",4,1.27224731445312
"49","bay",6,1.16794764995575
"50","bay",8,1.27563512325287
"51","bay",10,1.42511212825775
"52","bay",12,1.72570288181305
"53","bay",14,1.57510125637054
"54","bay",16,1.60570335388184
"55","bay",18,1.53799545764923
"56","bay",20,1.48015284538269
"57","bay",22,1.5043135881424
"58","bay",24,1.59502589702606
"59","bay",26,1.4916535615921
"60","bay",28,1.37967085838318
"61","bay",30,1.31542205810547
"62","bay",32,1.35700285434723
"63","bay",34,1.2948317527771
"64","bay",36,1.12685918807983
"65","bay",38,1.19523108005524
"66","bay",40,0.995013475418091
"67","bay",42,1.06615495681763
"68","bay",44,1.29670691490173
"69","bay",46,1.07606816291809
