image, x, y, angle, count
50-22-bay-1-1.tif,0.0,0.0,-90.0,0.5536686182022095
50-22-bay-1-1.tif,0.0,0.0,-88.0,0.5050069093704224
50-22-bay-1-1.tif,0.0,0.0,-86.0,0.514407753944397
50-22-bay-1-1.tif,0.0,0.0,-84.0,0.529992401599884
50-22-bay-1-1.tif,0.0,0.0,-82.0,0.5314075350761414
50-22-bay-1-1.tif,0.0,0.0,-80.0,0.5072857141494751
50-22-bay-1-1.tif,0.0,0.0,-78.0,0.5095303058624268
50-22-bay-1-1.tif,0.0,0.0,-76.0,0.6727806329727173
50-22-bay-1-1.tif,0.0,0.0,-74.0,0.7438126802444458
50-22-bay-1-1.tif,0.0,0.0,-72.0,0.7569211721420288
50-22-bay-1-1.tif,0.0,0.0,-70.0,0.9686210751533508
50-22-bay-1-1.tif,0.0,0.0,-68.0,0.9978220462799072
50-22-bay-1-1.tif,0.0,0.0,-66.0,1.1990406513214111
50-22-bay-1-1.tif,0.0,0.0,-64.0,1.3498504161834717
50-22-bay-1-1.tif,0.0,0.0,-62.0,1.3678309917449951
50-22-bay-1-1.tif,0.0,0.0,-60.0,1.30941903591156
50-22-bay-1-1.tif,0.0,0.0,-58.0,1.3659800291061401
50-22-bay-1-1.tif,0.0,0.0,-56.0,1.3518428802490234
50-22-bay-1-1.tif,0.0,0.0,-54.0,1.4840811491012573
50-22-bay-1-1.tif,0.0,0.0,-52.0,1.36952543258667
50-22-bay-1-1.tif,0.0,0.0,-50.0,1.377350926399231
50-22-bay-1-1.tif,0.0,0.0,-48.0,1.4160040616989136
50-22-bay-1-1.tif,0.0,0.0,-46.0,1.7397291660308838
50-22-bay-1-1.tif,0.0,0.0,-44.0,1.1966944932937622
50-22-bay-1-1.tif,0.0,0.0,-42.0,1.3105266094207764
50-22-bay-1-1.tif,0.0,0.0,-40.0,1.3947244882583618
50-22-bay-1-1.tif,0.0,0.0,-38.0,1.426457166671753
50-22-bay-1-1.tif,0.0,0.0,-36.0,1.6129069328308105
50-22-bay-1-1.tif,0.0,0.0,-34.0,1.5718271732330322
50-22-bay-1-1.tif,0.0,0.0,-32.0,1.474482774734497
50-22-bay-1-1.tif,0.0,0.0,-30.0,1.3163607120513916
50-22-bay-1-1.tif,0.0,0.0,-28.0,1.2132792472839355
50-22-bay-1-1.tif,0.0,0.0,-26.0,1.2421625852584839
50-22-bay-1-1.tif,0.0,0.0,-24.0,1.3560268878936768
50-22-bay-1-1.tif,0.0,0.0,-22.0,1.2230020761489868
50-22-bay-1-1.tif,0.0,0.0,-20.0,1.1838771104812622
50-22-bay-1-1.tif,0.0,0.0,-18.0,1.2935419082641602
50-22-bay-1-1.tif,0.0,0.0,-16.0,1.4184513092041016
50-22-bay-1-1.tif,0.0,0.0,-14.0,1.419812798500061
50-22-bay-1-1.tif,0.0,0.0,-12.0,1.2679331302642822
50-22-bay-1-1.tif,0.0,0.0,-10.0,1.230894684791565
50-22-bay-1-1.tif,0.0,0.0,-8.0,1.1145987510681152
50-22-bay-1-1.tif,0.0,0.0,-6.0,1.1726547479629517
50-22-bay-1-1.tif,0.0,0.0,-4.0,1.2760508060455322
50-22-bay-1-1.tif,0.0,0.0,-2.0,1.438511848449707
50-22-bay-1-1.tif,0.0,0.0,1.272221938257781E-13,1.510374903678894
50-22-bay-1-1.tif,0.0,0.0,2.0,1.203059196472168
50-22-bay-1-1.tif,0.0,0.0,4.0,1.272247314453125
50-22-bay-1-1.tif,0.0,0.0,6.0,1.1679476499557495
50-22-bay-1-1.tif,0.0,0.0,8.0,1.2756351232528687
50-22-bay-1-1.tif,0.0,0.0,10.0,1.4251121282577515
50-22-bay-1-1.tif,0.0,0.0,12.0,1.7257028818130493
50-22-bay-1-1.tif,0.0,0.0,14.0,1.5751012563705444
50-22-bay-1-1.tif,0.0,0.0,16.0,1.605703353881836
50-22-bay-1-1.tif,0.0,0.0,18.0,1.537995457649231
50-22-bay-1-1.tif,0.0,0.0,20.0,1.4801528453826904
50-22-bay-1-1.tif,0.0,0.0,22.0,1.504313588142395
50-22-bay-1-1.tif,0.0,0.0,24.0,1.595025897026062
50-22-bay-1-1.tif,0.0,0.0,26.0,1.491653561592102
50-22-bay-1-1.tif,0.0,0.0,28.0,1.3796708583831787
50-22-bay-1-1.tif,0.0,0.0,30.0,1.3154220581054688
50-22-bay-1-1.tif,0.0,0.0,32.0,1.357002854347229
50-22-bay-1-1.tif,0.0,0.0,34.0,1.2948317527770996
50-22-bay-1-1.tif,0.0,0.0,36.0,1.126859188079834
50-22-bay-1-1.tif,0.0,0.0,38.0,1.1952310800552368
50-22-bay-1-1.tif,0.0,0.0,40.0,0.9950134754180908
