time_in_serie,intensity,intensity_ratio,diameter,rep_x,rep_y,growth
1,6.28,1.94,21.1,827,352,0
1,6.55,2.26,18.25,716,390,0
1,12.67,3.13,16.64,703,407,0
1,5.43,1.71,29.41,660,446,0
1,6.19,1.97,30.46,1505,459,0
1,7.39,1.84,15.52,701,516,0
1,7.52,2.5,26.93,849,536,0
1,5.84,1.94,25.55,675,571,0
1,5.79,1.94,28.43,854,583,0
1,6.28,2.13,31.83,1126,589,0
1,7.85,2.48,39.05,668,605,0
1,6.32,2.16,45.54,1399,616,0
1,8.24,2.04,22.2,1097,609,0
1,6.42,2.29,30.46,437,612,0
1,9.52,2.65,19.24,487,621,0
1,6.67,2.07,50,669,637,0
1,6.9,2.06,57.72,1327,672,0
1,6.53,2.14,28.18,717,657,0
1,6.03,1.92,34.83,565,662,0
1,6.24,2.16,42.43,1381,674,0
1,7.69,2.29,18.25,392,715,0
1,7.03,2.38,29.73,1522,745,0
1,7.51,2.1,25.46,528,752,0
1,6.31,2.17,25.96,1380,759,0
1,6.39,2.25,25.96,699,767,0
1,13.88,2.62,31.78,1093,763,0
1,8.9,2.56,27.31,1277,776,0
1,8.93,2.22,20.22,381,805,0
1,5.57,1.95,22.14,784,837,0
1,7.16,2.12,30.41,908,852,0
1,6.67,2.22,20.4,462,852,0
1,8.79,2.34,25.02,591,862,0
1,8.84,2.43,17.12,627,871,0
1,6.58,2.17,26.57,545,902,0
1,12.04,2.67,18.79,1454,903,0
1,6.7,2.02,26.93,577,925,0
1,8.04,2.95,30.08,651,936,0
1,6.11,2.01,43.01,1309,950,0
1,7.01,2.33,79.4,1217,1019,0
1,10.27,2.65,53.71,1619,1038,0
1,6.75,2.2,52.47,725,1059,0
1,6.82,2.19,23.77,653,1055,0
1,10.23,2.7,41.62,1353,1077,0
1,7.17,2.16,35.81,566,1097,0
1,7.87,2.37,26.08,1300,1110,0
1,6.98,2.25,25.94,770,1113,0
1,8.67,2.4,22.2,1336,1126,0
1,10.75,2.47,25.63,630,1172,0
1,5.88,1.79,42.52,178,1181,0
1,7.61,2.5,33.62,747,1177,0
1,7.59,2.43,23.35,1215,1198,0
1,11.08,2.66,18.87,742,1209,0
1,10.3,2.7,54.45,1017,1236,0
1,6.89,2.25,41.98,850,1242,0
1,14.24,2.61,21.59,1301,1245,0
1,7.07,1.88,32.57,507,1259,0
1,8.05,2.27,86.13,1693,1291,0
1,7.54,2.2,32.25,742,1271,0
1,15.77,2.86,32.2,1309,1278,0
1,10.27,2.33,52.47,1429,1292,0
1,6.4,1.89,119.85,1500,1365,0
1,7.44,2.18,35.61,582,1360,0
1,8.08,2.06,60.75,1397,1384,0
1,5.14,2.36,30.81,802,1407,0
1,11.07,2.57,53.76,801,1470,0
1,5.58,1.56,41.44,663,1491,0
1,8.78,2.28,24.08,753,1509,0
1,9.32,2.37,21.26,1121,1569,0
1,5.55,1.61,56.4,697,1598,0
1,12.83,3.2,47.04,980,1636,0
1,12.08,2.88,24.08,890,1679,0
1,10.59,2.58,42.54,813,1713,0
1,12.65,2.66,27.46,982,1742,0
1,9.47,2.69,38.59,1092,1810,0
1,6.17,1.78,27.59,1215,1853,0
1,7.25,2.08,27.51,819,1901,0
1,6.56,1.83,41.34,1183,1903,0
1,9.33,2.4,42.54,794,1932,0
1,5.93,1.83,18.6,1134,1951,0
1,7.34,2.34,21.02,801,1959,0
1,6.3,2,24.84,883,2028,0
1,7,1.57,18.79,834,2038,0
1,8.7,2.08,18.03,856,2072,0
1,6.84,1.89,23.26,853,2129,0
1,6.83,1.81,18.6,911,2243,0
1,6.74,1.92,20.62,946,2302,0
1,5.42,1.65,75.71,880,2588,0
2,7.08,1.9,22.47,713,388,3.61
2,5.72,1.53,29.41,662,444,2.83
2,6.3,1.65,27.2,846,536,3
2,7.39,2.29,60.01,667,597,8.06
2,7.8,2.53,30.41,431,613,6.08
2,6.62,1.86,42.8,668,638,1.41
2,6.1,1.95,38.01,565,662,0
2,6.75,2.01,26,717,656,1
2,6.85,2.27,29.21,526,753,2.24
2,6.7,1.88,27.73,697,765,2.83
2,8.91,1.88,29.83,1092,762,1.41
2,7.49,2.29,22.8,379,805,2
2,6.99,2.22,25.5,459,852,3
2,7.98,2.65,21.38,625,871,2
2,8.12,2.63,27.89,544,904,2.24
2,9.49,2.66,30.08,649,937,2.24
2,13.8,2.54,49.24,1619,1039,1
2,6.41,2.24,55.58,723,1057,2.83
2,7.64,1.75,26.48,1216,1041,22.02
2,9.05,2.85,50.61,1353,1078,1
2,7.84,2.55,24.6,564,1089,8.25
2,5.69,1.77,40,176,1181,2
2,8.05,2.79,34.48,748,1178,1.41
2,9.82,2.82,20.81,741,1209,1
2,10.56,2.4,52.47,1016,1234,2.24
2,6.57,2.54,45.12,849,1242,1
2,7.98,2.16,41.79,508,1258,1.41
2,13.64,2.94,86.35,1694,1300,9.06
2,7.46,2.4,36.72,742,1271,0
2,17.79,2.77,34.48,1307,1279,2.24
2,18.76,2.52,48.27,1428,1296,4.12
2,9.45,2.56,116.1,1502,1369,4.47
2,8.91,2.02,27.66,1448,1335,0
2,7.36,2.39,45.22,580,1360,2
2,12.88,2.61,61.47,1395,1384,2
2,11.53,2.84,56.75,799,1472,2.83
2,6.65,1.96,56.86,662,1491,1
2,10.87,2.74,20,755,1512,3.61
2,6.29,1.99,95.43,706,1589,12.73
2,10.16,2.58,22.02,1121,1569,0
2,14.66,3.07,48.17,979,1636,1
2,11.78,2.82,18.44,889,1679,1
2,9.04,2.46,36.24,743,1692,0
2,12.16,3.29,48.85,812,1713,1
2,7.5,1.96,34.66,1338,1718,0
2,11.86,3.12,30,981,1743,1.41
2,10.43,2.83,37.22,1092,1811,1
2,7.28,2.12,29.21,1215,1853,0
2,7.66,2.47,31.32,817,1902,2.24
