"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"1",1,"60-15-col-wd-2.tif",1,"680986bc-f764-45fc-bbcc-aa69c145e900",44.181442,5.19,938,43,942,87,47.58,-1,-1,-1,-1,-1,-1,15,2,0.15,938,2254,2210,942
"2",2,"60-15-col-wd-2.tif",1,"0444671c-a5aa-4312-a7ee-d9d2a72ea049",112.1606,68.01,931,97,827,139,50.89,-1,-1,-1,-1,-1,-1,15,2,0.38,931,2200,2158,827
"3",3,"60-15-col-wd-2.tif",1,"24b968c9-8fff-492a-a43d-31ec007b4f43",34.43835,25.82,1016,128,1031,159,46.83,-1,-1,-1,-1,-1,-1,15,2,0.12,1016,2169,2138,1031
"4",4,"60-15-col-wd-2.tif",1,"96ba68cc-6709-445a-a409-7c5a69b13fbe",53.25411,34.29,850,131,820,175,52.6,-1,-1,-1,-1,-1,-1,15,2,0.18,850,2166,2122,820
"5",5,"60-15-col-wd-2.tif",1,"0ceac693-5baf-4f11-a4cb-f7ab7a46b9cb",160.52414,30.72,807,150,725,288,54.25,-1,-1,-1,-1,-1,-1,15,2,0.54,807,2147,2009,725
"6",6,"60-15-col-wd-2.tif",1,"ef97b065-fd62-4fe7-b990-3da738138eaf",46.572525,14.93,926,150,914,195,58.91,-1,-1,-1,-1,-1,-1,15,2,0.16,926,2147,2102,914
"7",7,"60-15-col-wd-2.tif",1,"d1d6d2db-2663-4ac8-bf29-3fb381f934ae",73.4983,33.91,1030,160,1071,221,50.81,-1,-1,-1,-1,-1,-1,15,2,0.25,1030,2137,2076,1071
"8",8,"60-15-col-wd-2.tif",1,"ec7fa4f5-b34c-4aac-bf9d-da4bdc263b41",31.400637,37.23,920,196,901,221,56.93,-1,-1,-1,-1,-1,-1,15,2,0.11,920,2101,2076,901
"9",9,"60-15-col-wd-2.tif",1,"6ad5b240-7802-49a1-aa92-3ea52f08907d",89.19641,47.73,933,204,999,264,58.88,-1,-1,-1,-1,-1,-1,15,2,0.3,933,2093,2033,999
"10",10,"60-15-col-wd-2.tif",1,"3c2e8527-54e9-4790-810b-4ae7b1b53579",45.122055,12.8,1000,255,1010,299,54.22,-1,-1,-1,-1,-1,-1,15,2,0.15,1000,2042,1998,1010
"11",11,"60-15-col-wd-2.tif",1,"76fb7111-a5c2-4205-93df-55a5ee7caddc",102.528046,20.56,1146,255,1182,351,54.61,-1,-1,-1,-1,-1,-1,15,2,0.34,1146,2042,1946,1182
"12",12,"60-15-col-wd-2.tif",1,"c188b636-6b6d-4a6c-9a9f-bac7fc1a2966",31.622776,34.7,983,271,1001,297,53.76,-1,-1,-1,-1,-1,-1,15,2,0.11,983,2026,2000,1001
"13",13,"60-15-col-wd-2.tif",1,"1125b87c-7429-432e-aebc-147e7e1c61f8",87.46428,5.91,957,287,966,374,45.55,-1,-1,-1,-1,-1,-1,15,2,0.29,957,2010,1923,966
"14",14,"60-15-col-wd-2.tif",1,"80772c25-f447-49d3-b71d-d8e6b64a0257",68.65858,12.62,876,292,891,359,52.65,-1,-1,-1,-1,-1,-1,15,2,0.23,876,2005,1938,891
"15",15,"60-15-col-wd-2.tif",1,"f4fb86b3-2c26-42e3-aea7-cc0f91a1fe5a",85.08819,29.58,1046,308,1088,382,52.51,-1,-1,-1,-1,-1,-1,15,2,0.29,1046,1989,1915,1088
"16",16,"60-15-col-wd-2.tif",1,"6f9f7e80-fa4d-458e-abd4-ed96983e8fbd",81.84131,26.88,979,331,1016,404,46.38,-1,-1,-1,-1,-1,-1,15,2,0.27,979,1966,1893,1016
