id,label,envi,x,y,group,time_in_serie,hum
1,60-16-col-wd-1.tif,42.41,97.08,81.97,2,1,51.8733
2,60-16-col-wd-1.tif,42.51,73.54,225.91,2,1,51.4863
3,60-16-col-wd-1.tif,41.52,91.36,396.98,2,1,55.3176
4,60-16-col-wd-1.tif,41.96,89.20,540.58,2,1,53.6148
5,60-16-col-wd-1.tif,42.58,77.07,696.72,2,1,51.2154
6,60-16-col-wd-1.tif,41.68,84.45,834.17,2,1,54.6984
7,60-16-col-wd-1.tif,42.17,77.85,983.16,2,1,52.8021
8,60-16-col-wd-1.tif,41.8,91.49,1150.49,2,1,54.234
9,60-16-col-wd-1.tif,42.46,76.24,1296.85,2,1,51.6798
10,60-16-col-wd-1.tif,43.83,94.46,1444.02,2,1,46.3779
11,60-16-col-wd-1.tif,44.39,78.21,1593.46,2,1,44.2107
12,60-16-col-wd-1.tif,41.84,85.81,1745.84,2,1,54.0792
13,60-16-col-wd-1.tif,42.99,73.81,1885.48,2,1,49.6287
14,60-16-col-wd-1.tif,43.04,101.23,2054.35,2,1,49.4352
15,60-16-col-wd-1.tif,42.01,70.86,2181.52,2,1,53.4213
16,60-16-col-wd-1.tif,41.11,88.97,2352.17,2,1,56.9043
17,60-16-col-wd-1.tif,41.98,72.84,2494.18,2,1,53.5374
18,60-16-col-wd-1.tif,41.54,78.47,2635.73,2,1,55.2402
19,60-16-col-wd-1.tif,40.75,89.55,2790.86,2,1,58.2975
20,60-16-col-wd-1.tif,40.64,84.63,2931.25,2,1,58.7232
21,60-16-col-wd-1.tif,39.83,97.07,3102.39,2,1,61.8579
22,60-16-col-wd-1.tif,40.25,91.16,3250.30,2,1,60.2325
23,60-16-col-wd-1.tif,40.76,99.04,3393.31,2,1,58.2588
24,60-16-col-wd-1.tif,42.48,70.82,3540.95,2,1,51.6024
25,60-16-col-wd-1.tif,41.25,86.77,3677.73,2,1,56.3625
26,60-16-col-wd-1.tif,48.31,75.11,3848.69,2,1,29.0403
27,60-16-col-wd-1.tif,61.58,75.60,3987.64,2,1,-22.3146
28,60-16-col-wd-1.tif,40.97,236.49,103.76,2,1,57.4461
29,60-16-col-wd-1.tif,41.01,248.05,226.44,2,1,57.2913
30,60-16-col-wd-1.tif,41.88,241.74,391.19,2,1,53.9244
31,60-16-col-wd-1.tif,40.5,251.73,546.81,2,1,59.265
32,60-16-col-wd-1.tif,40.71,250.66,680.61,2,1,58.4523
33,60-16-col-wd-1.tif,40.63,233.44,834.80,2,1,58.7619
34,60-16-col-wd-1.tif,39.41,236.59,979.64,2,1,63.4833
35,60-16-col-wd-1.tif,40.85,231.28,1155.31,2,1,57.9105
36,60-16-col-wd-1.tif,41.42,248.14,1282.55,2,1,55.7046
37,60-16-col-wd-1.tif,40.82,229.49,1442.43,2,1,58.0266
38,60-16-col-wd-1.tif,40.95,243.26,1594.63,2,1,57.5235
39,60-16-col-wd-1.tif,41.57,240.48,1744.06,2,1,55.1241
40,60-16-col-wd-1.tif,41.3,231.41,1886.95,2,1,56.169
41,60-16-col-wd-1.tif,42.41,243.92,2031.20,2,1,51.8733
42,60-16-col-wd-1.tif,40.24,235.56,2191.07,2,1,60.2712
43,60-16-col-wd-1.tif,40.63,235.64,2349.74,2,1,58.7619
44,60-16-col-wd-1.tif,40.39,233.86,2485.42,2,1,59.6907
45,60-16-col-wd-1.tif,39.55,243.32,2637.47,2,1,62.9415
46,60-16-col-wd-1.tif,40.98,233.04,2787.94,2,1,57.4074
47,60-16-col-wd-1.tif,40.85,224.15,2944.94,2,1,57.9105
48,60-16-col-wd-1.tif,40.87,250.48,3077.01,2,1,57.8331
49,60-16-col-wd-1.tif,41.04,230.08,3248.95,2,1,57.1752
50,60-16-col-wd-1.tif,41.72,227.68,3376.07,2,1,54.5436
51,60-16-col-wd-1.tif,43.38,246.82,3534.13,2,1,48.1194
52,60-16-col-wd-1.tif,42.22,232.67,3704.36,2,1,52.6086
53,60-16-col-wd-1.tif,44.7,255.19,3855.03,2,1,43.011
54,60-16-col-wd-1.tif,48.69,244.11,3987.32,2,1,27.5697
55,60-16-col-wd-1.tif,42,399.13,74.04,2,1,53.46
56,60-16-col-wd-1.tif,40.1,404.46,253.43,2,1,60.813
57,60-16-col-wd-1.tif,40.95,375.52,403.53,2,1,57.5235
58,60-16-col-wd-1.tif,41.27,376.67,524.33,2,1,56.2851
59,60-16-col-wd-1.tif,41.04,386.82,677.63,2,1,57.1752
60,60-16-col-wd-1.tif,41.1,390.30,831.70,2,1,56.943
61,60-16-col-wd-1.tif,40.59,377.96,995.47,2,1,58.9167
62,60-16-col-wd-1.tif,40.53,378.26,1129.47,2,1,59.1489
